customer_id,customer_type,order_id,order_amount
1001,SMB,5705.0,2844.72
1001,SMB,5777.0,2527.87
1001,SMB,7014.0,3604.44
1001,SMB,7265.0,3526.87
1001,SMB,7641.0,1529.68
1001,SMB,8383.0,2742.2
1001,SMB,9630.0,64.95
1002,Startup,5486.0,3017.33
1002,Startup,5629.0,2899.19
1002,Startup,5902.0,3394.15
1002,Startup,9592.0,3287.41
1003,Startup,5114.0,105.95
1003,Startup,5189.0,2910.14
1003,Startup,5841.0,1818.1
1003,Startup,7867.0,2217.02
1003,Startup,8066.0,1927.86
1003,Startup,8767.0,3734.88
1003,Startup,9006.0,2082.09
1004,Startup,8275.0,2435.87
1005,SMB,8038.0,789.53
1005,SMB,9757.0,1286.84
1005,SMB,9832.0,922.16
1005,SMB,9935.0,2385.19
1006,SMB,8821.0,2828.71
1006,SMB,9534.0,1326.8
1006,SMB,9689.0,4396.67
1006,SMB,9927.0,1191.66
1007,Enterprise,5267.0,2062.62
1007,Enterprise,5345.0,973.87
1007,Enterprise,5527.0,4203.78
1007,Enterprise,6153.0,1733.02
1007,Enterprise,7391.0,519.5
1007,Enterprise,8623.0,2588.11
1007,Enterprise,8924.0,1704.37
1008,Startup,5747.0,1199.51
1008,Startup,6359.0,944.25
1008,Startup,6880.0,4116.28
1008,Startup,7151.0,903.31
1008,Startup,8124.0,2755.74
1008,Startup,9324.0,3208.56
1008,Startup,9897.0,564.0
1009,Startup,5508.0,2879.46
1010,Startup,5662.0,502.54
1010,Startup,5942.0,348.12
1010,Startup,6337.0,1848.85
1010,Startup,6540.0,740.28
1010,Startup,7724.0,435.5
1010,Startup,8167.0,438.75
1010,Startup,8354.0,4673.24
1010,Startup,9753.0,815.69
1011,Enterprise,5141.0,1095.07
1011,Enterprise,5459.0,3928.17
1011,Enterprise,8876.0,525.82
1011,Enterprise,9425.0,3723.89
1012,Startup,5002.0,3083.34
1012,Startup,5543.0,275.65
1012,Startup,5716.0,1318.15
1012,Startup,5852.0,3332.57
1012,Startup,6075.0,1322.46
1012,Startup,6138.0,3669.69
1012,Startup,6193.0,3350.09
1012,Startup,6556.0,4834.78
1012,Startup,7748.0,4607.74
1012,Startup,7950.0,332.64
1012,Startup,8482.0,4713.82
1013,Startup,6287.0,444.59
1013,Startup,6548.0,2002.67
1013,Startup,7599.0,2780.86
1013,Startup,7688.0,2326.71
1013,Startup,7810.0,2882.8
1013,Startup,7843.0,4025.9
1013,Startup,9311.0,676.95
1013,Startup,9407.0,4906.1
1013,Startup,9598.0,631.51
1013,Startup,9948.0,676.4
1014,SMB,5542.0,3245.58
1014,SMB,5639.0,2841.27
1014,SMB,6558.0,1638.94
1014,SMB,7732.0,3710.84
1014,SMB,9257.0,2499.4
1015,SMB,8048.0,1634.29
1016,SMB,5027.0,4402.68
1016,SMB,5075.0,177.56
1016,SMB,6926.0,3152.43
1016,SMB,7123.0,4258.16
1017,SMB,5295.0,3266.45
1017,SMB,5325.0,4978.07
1017,SMB,6327.0,479.2
1017,SMB,6371.0,2397.83
1017,SMB,7906.0,4192.47
1017,SMB,8193.0,795.52
1017,SMB,8537.0,4880.56
1017,SMB,8917.0,1921.22
1018,Startup,8858.0,2710.03
1018,Startup,9486.0,4707.78
1019,SMB,5807.0,2767.1
1019,SMB,6510.0,3036.06
1019,SMB,6628.0,3842.92
1019,SMB,7268.0,1361.98
1019,SMB,7627.0,629.47
1019,SMB,8101.0,2395.18
1019,SMB,8502.0,2506.66
1019,SMB,8895.0,3017.18
1019,SMB,9230.0,1603.22
1020,SMB,5177.0,823.77
1020,SMB,5702.0,811.23
1020,SMB,6563.0,305.7
1020,SMB,6576.0,4917.54
1020,SMB,6591.0,1127.06
1020,SMB,7544.0,4953.68
1020,SMB,8572.0,1982.36
1021,Startup,5382.0,1825.18
1021,Startup,5617.0,835.75
1021,Startup,5867.0,4978.89
1021,Startup,6321.0,2848.81
1021,Startup,6767.0,1253.74
1021,Startup,8777.0,2230.15
1022,SMB,5330.0,2043.38
1022,SMB,5373.0,4059.13
1022,SMB,5534.0,4396.27
1022,SMB,6810.0,961.3
1022,SMB,7606.0,3096.37
1022,SMB,7739.0,3963.04
1022,SMB,8337.0,1930.63
1022,SMB,8464.0,378.71
1022,SMB,8564.0,2452.02
1022,SMB,9893.0,316.97
1023,SMB,6511.0,1174.94
1023,SMB,7378.0,3914.38
