customer_type,month,order_count,monthly_revenue,avg_order_value,unique_customers,revenue_per_customer
Enterprise,2026-08,8,248675.61,31084.45,6,41445.93
SMB,2026-08,43,192477.88,4476.23,35,5499.37
Startup,2026-08,65,51928.36,798.9,55,944.15
SMB,2026-07,94,390808.5,4157.54,65,6012.44
Enterprise,2026-07,7,187062.57,26723.22,5,37412.51
Startup,2026-07,125,104372.63,834.98,95,1098.66
SMB,2026-06,61,286626.09,4698.79,51,5620.12
Enterprise,2026-06,10,284363.03,28436.3,7,40623.29
Startup,2026-06,111,93002.54,837.86,76,1223.72
Enterprise,2026-05,7,252353.58,36050.51,5,50470.72
SMB,2026-05,56,243604.78,4350.09,45,5413.44
Startup,2026-05,79,68302.52,864.59,62,1101.65
SMB,2026-04,44,201990.75,4590.7,39,5179.25
Enterprise,2026-04,5,140973.99,28194.8,4,35243.5
Startup,2026-04,54,38621.1,715.21,43,898.17
SMB,2026-03,34,165734.79,4874.55,32,5179.21
Enterprise,2026-03,5,84809.69,16961.94,4,21202.42
Startup,2026-03,70,59155.79,845.08,56,1056.35
SMB,2026-02,27,106648.18,3949.93,24,4443.67
Enterprise,2026-02,2,29753.17,14876.58,2,14876.58
Startup,2026-02,34,21469.19,631.45,27,795.16
SMB,2026-01,24,92064.58,3836.02,20,4603.23
Enterprise,2026-01,3,76977.47,25659.16,3,25659.16
Startup,2026-01,34,27220.29,800.6,30,907.34
SMB,2025-12,20,80770.42,4038.52,20,4038.52
Enterprise,2025-12,2,75533.71,37766.86,2,37766.86
Startup,2025-12,22,19156.94,870.77,18,1064.27
Enterprise,2025-11,1,46485.8,46485.8,1,46485.8
SMB,2025-11,9,40941.18,4549.02,8,5117.65
Startup,2025-11,21,16500.79,785.75,18,916.71
SMB,2025-10,14,56721.91,4051.56,13,4363.22
Startup,2025-10,7,3820.67,545.81,7,545.81
SMB,2025-09,6,29041.49,4840.25,6,4840.25
Startup,2025-09,11,9650.99,877.36,11,877.36
Enterprise,2025-08,1,27109.87,27109.87,1,27109.87
SMB,2025-08,5,20948.08,4189.62,5,4189.62
Startup,2025-08,12,8916.25,743.02,11,810.57
