customer_id,customer_type,order_id,order_date,product_id,product_name,quantity,unit_price,line_total
1146,Enterprise,9942.0,2026-08-08,105.0,Product-105,4.0,70.93,283.72
1245,Enterprise,9924.0,2026-08-08,124.0,Product-124,9.0,463.08,4167.72
1529,Enterprise,9901.0,2026-08-07,116.0,Product-116,1.0,214.82,214.82
1795,Enterprise,9920.0,2026-08-07,131.0,Product-131,3.0,227.03,681.09
1822,Enterprise,9918.0,2026-08-07,145.0,Product-145,5.0,78.62,393.1
1209,Enterprise,9892.0,2026-08-06,136.0,Product-136,8.0,365.19,2921.52
1209,Enterprise,9892.0,2026-08-06,150.0,Product-150,4.0,188.89,755.56
1335,Enterprise,9891.0,2026-08-06,115.0,Product-115,1.0,350.66,350.66
1335,Enterprise,9891.0,2026-08-06,130.0,Product-130,9.0,296.71,2670.39
1335,Enterprise,9891.0,2026-08-06,138.0,Product-138,3.0,162.38,487.14
1611,Enterprise,9895.0,2026-08-06,119.0,Product-119,1.0,181.62,181.62
1611,Enterprise,9895.0,2026-08-06,131.0,Product-131,1.0,227.03,227.03
1702,Enterprise,9898.0,2026-08-06,105.0,Product-105,2.0,70.93,141.86
1702,Enterprise,9898.0,2026-08-06,129.0,Product-129,7.0,115.01,805.07
1857,Enterprise,9875.0,2026-08-06,122.0,Product-122,6.0,339.04,2034.24
1857,Enterprise,9875.0,2026-08-06,124.0,Product-124,1.0,463.08,463.08
1857,Enterprise,9875.0,2026-08-06,127.0,Product-127,8.0,173.17,1385.36
1030,Enterprise,9852.0,2026-08-05,106.0,Product-106,6.0,114.99,689.94
1030,Enterprise,9852.0,2026-08-05,109.0,Product-109,1.0,314.79,314.79
1030,Enterprise,9852.0,2026-08-05,135.0,Product-135,1.0,347.95,347.95
1457,Enterprise,9865.0,2026-08-05,143.0,Product-143,3.0,251.99,755.97
1564,Enterprise,9874.0,2026-08-05,107.0,Product-107,3.0,41.6,124.8
1564,Enterprise,9874.0,2026-08-05,145.0,Product-145,6.0,78.62,471.72
1819,Enterprise,9851.0,2026-08-05,128.0,Product-128,2.0,193.05,386.1
1471,Enterprise,9813.0,2026-08-03,144.0,Product-144,3.0,14.75,44.25
1875,Enterprise,9809.0,2026-08-03,102.0,Product-102,9.0,24.21,217.89
1129,Enterprise,9781.0,2026-08-02,137.0,Product-137,1.0,352.08,352.08
1149,Enterprise,9788.0,2026-08-02,106.0,Product-106,2.0,114.99,229.98
1378,Enterprise,9787.0,2026-08-02,134.0,Product-134,4.0,407.11,1628.44
1765,Enterprise,9798.0,2026-08-02,128.0,Product-128,3.0,193.05,579.15
1899,Enterprise,9786.0,2026-08-02,125.0,Product-125,8.0,65.13,521.04
1899,Enterprise,9786.0,2026-08-02,147.0,Product-147,7.0,293.51,2054.57
1471,Enterprise,9775.0,2026-08-01,118.0,Product-118,2.0,328.05,656.1
1471,Enterprise,9775.0,2026-08-01,119.0,Product-119,6.0,181.62,1089.72
1471,Enterprise,9775.0,2026-08-01,128.0,Product-128,5.0,193.05,965.25
1073,Enterprise,9750.0,2026-07-31,114.0,Product-114,6.0,16.25,97.5
1073,Enterprise,9750.0,2026-07-31,138.0,Product-138,4.0,162.38,649.52
1370,Enterprise,9731.0,2026-07-31,103.0,Product-103,9.0,348.01,3132.09
1370,Enterprise,9731.0,2026-07-31,111.0,Product-111,8.0,410.38,3283.04
1370,Enterprise,9731.0,2026-07-31,128.0,Product-128,9.0,193.05,1737.45
1375,Enterprise,9740.0,2026-07-31,106.0,Product-106,2.0,114.99,229.98
1355,Enterprise,9717.0,2026-07-30,115.0,Product-115,9.0,350.66,3155.94
1851,Enterprise,9685.0,2026-07-29,112.0,Product-112,2.0,431.89,863.78
1851,Enterprise,9685.0,2026-07-29,120.0,Product-120,1.0,459.38,459.38
1851,Enterprise,9685.0,2026-07-29,138.0,Product-138,7.0,162.38,1136.66
1149,Enterprise,9680.0,2026-07-28,123.0,Product-123,4.0,12.14,48.56
1822,Enterprise,9672.0,2026-07-28,110.0,Product-110,7.0,257.81,1804.67
1822,Enterprise,9672.0,2026-07-28,144.0,Product-144,5.0,14.75,73.75
1702,Enterprise,9650.0,2026-07-27,105.0,Product-105,2.0,70.93,141.86
1883,Enterprise,9651.0,2026-07-27,116.0,Product-116,8.0,214.82,1718.56
1471,Enterprise,9621.0,2026-07-26,115.0,Product-115,2.0,350.66,701.32
1471,Enterprise,9621.0,2026-07-26,124.0,Product-124,5.0,463.08,2315.4
1471,Enterprise,9621.0,2026-07-26,130.0,Product-130,4.0,296.71,1186.84
1238,Enterprise,9602.0,2026-07-25,114.0,Product-114,5.0,16.25,81.25
1286,Enterprise,9596.0,2026-07-25,129.0,Product-129,6.0,115.01,690.06
1473,Enterprise,9588.0,2026-07-25,109.0,Product-109,3.0,314.79,944.37
1473,Enterprise,9588.0,2026-07-25,146.0,Product-146,7.0,167.82,1174.74
1498,Enterprise,9600.0,2026-07-25,101.0,Product-101,2.0,240.45,480.9
1498,Enterprise,9600.0,2026-07-25,104.0,Product-104,2.0,246.1,492.2
1498,Enterprise,9600.0,2026-07-25,137.0,Product-137,7.0,352.08,2464.56
1487,Enterprise,9557.0,2026-07-23,126.0,Product-126,2.0,56.49,112.98
1487,Enterprise,9557.0,2026-07-23,140.0,Product-140,5.0,143.51,717.55
1702,Enterprise,9548.0,2026-07-23,138.0,Product-138,2.0,162.38,324.76
1702,Enterprise,9548.0,2026-07-23,140.0,Product-140,4.0,143.51,574.04
1206,Enterprise,9535.0,2026-07-22,111.0,Product-111,6.0,410.38,2462.28
1206,Enterprise,9535.0,2026-07-22,117.0,Product-117,7.0,287.12,2009.84
1611,Enterprise,9537.0,2026-07-22,149.0,Product-149,9.0,472.25,4250.25
1011,Enterprise,9425.0,2026-07-18,143.0,Product-143,8.0,251.99,2015.92
1238,Enterprise,9435.0,2026-07-18,143.0,Product-143,1.0,251.99,251.99
1355,Enterprise,9436.0,2026-07-18,143.0,Product-143,8.0,251.99,2015.92
1375,Enterprise,9424.0,2026-07-18,116.0,Product-116,6.0,214.82,1288.92
1375,Enterprise,9424.0,2026-07-18,126.0,Product-126,1.0,56.49,56.49
1375,Enterprise,9424.0,2026-07-18,137.0,Product-137,8.0,352.08,2816.64
1471,Enterprise,9420.0,2026-07-18,144.0,Product-144,7.0,14.75,103.25
1101,Enterprise,9409.0,2026-07-17,120.0,Product-120,8.0,459.38,3675.04
1101,Enterprise,9409.0,2026-07-17,146.0,Product-146,1.0,167.82,167.82
1110,Enterprise,9395.0,2026-07-17,114.0,Product-114,1.0,16.25,16.25
1516,Enterprise,9412.0,2026-07-17,125.0,Product-125,6.0,65.13,390.78
1516,Enterprise,9412.0,2026-07-17,136.0,Product-136,5.0,365.19,1825.95
1084,Enterprise,9385.0,2026-07-16,121.0,Product-121,4.0,75.65,302.6
1564,Enterprise,9382.0,2026-07-16,123.0,Product-123,1.0,12.14,12.14
1564,Enterprise,9382.0,2026-07-16,131.0,Product-131,1.0,227.03,227.03
1899,Enterprise,9386.0,2026-07-16,107.0,Product-107,7.0,41.6,291.2
1899,Enterprise,9386.0,2026-07-16,110.0,Product-110,7.0,257.81,1804.67
1073,Enterprise,9344.0,2026-07-14,129.0,Product-129,9.0,115.01,1035.09
1587,Enterprise,9319.0,2026-07-13,103.0,Product-103,3.0,348.01,1044.03
1043,Enterprise,9298.0,2026-07-12,127.0,Product-127,5.0,173.17,865.85
1059,Enterprise,9297.0,2026-07-12,123.0,Product-123,4.0,12.14,48.56
1059,Enterprise,9297.0,2026-07-12,150.0,Product-150,7.0,188.89,1322.23
1375,Enterprise,9296.0,2026-07-12,116.0,Product-116,2.0,214.82,429.64
1851,Enterprise,9277.0,2026-07-12,117.0,Product-117,3.0,287.12,861.36
1851,Enterprise,9277.0,2026-07-12,139.0,Product-139,9.0,58.84,529.56
1851,Enterprise,9277.0,2026-07-12,148.0,Product-148,7.0,46.8,327.6
1425,Enterprise,9271.0,2026-07-11,131.0,Product-131,4.0,227.03,908.12
1425,Enterprise,9271.0,2026-07-11,140.0,Product-140,3.0,143.51,430.53
1471,Enterprise,9266.0,2026-07-11,124.0,Product-124,4.0,463.08,1852.32
1857,Enterprise,9274.0,2026-07-11,111.0,Product-111,2.0,410.38,820.76
1355,Enterprise,9217.0,2026-07-09,116.0,Product-116,3.0,214.82,644.46
1355,Enterprise,9217.0,2026-07-09,135.0,Product-135,8.0,347.95,2783.6
1355,Enterprise,9217.0,2026-07-09,143.0,Product-143,6.0,251.99,1511.94
1515,Enterprise,9218.0,2026-07-09,131.0,Product-131,2.0,227.03,454.06
1459,Enterprise,9198.0,2026-07-08,132.0,Product-132,8.0,26.75,214.0
1129,Enterprise,9120.0,2026-07-05,125.0,Product-125,1.0,65.13,65.13
1378,Enterprise,9123.0,2026-07-05,128.0,Product-128,6.0,193.05,1158.3
1437,Enterprise,9129.0,2026-07-05,101.0,Product-101,6.0,240.45,1442.7
1437,Enterprise,9129.0,2026-07-05,130.0,Product-130,5.0,296.71,1483.55
1437,Enterprise,9129.0,2026-07-05,142.0,Product-142,8.0,490.43,3923.44
1059,Enterprise,9086.0,2026-07-04,113.0,Product-113,2.0,311.66,623.32
1059,Enterprise,9086.0,2026-07-04,119.0,Product-119,8.0,181.62,1452.96
1336,Enterprise,9098.0,2026-07-04,116.0,Product-116,3.0,214.82,644.46
1899,Enterprise,9067.0,2026-07-03,113.0,Product-113,8.0,311.66,2493.28
1899,Enterprise,9067.0,2026-07-03,146.0,Product-146,4.0,167.82,671.28
1355,Enterprise,9051.0,2026-07-02,110.0,Product-110,5.0,257.81,1289.05
1059,Enterprise,9011.0,2026-07-01,112.0,Product-112,7.0,431.89,3023.23
1059,Enterprise,9011.0,2026-07-01,114.0,Product-114,5.0,16.25,81.25
1348,Enterprise,9029.0,2026-07-01,121.0,Product-121,7.0,75.65,529.55
1206,Enterprise,9008.0,2026-06-30,135.0,Product-135,8.0,347.95,2783.6
1292,Enterprise,8987.0,2026-06-30,114.0,Product-114,9.0,16.25,146.25
1333,Enterprise,8996.0,2026-06-30,108.0,Product-108,4.0,291.4,1165.6
1333,Enterprise,8996.0,2026-06-30,148.0,Product-148,2.0,46.8,93.6
1335,Enterprise,8988.0,2026-06-30,138.0,Product-138,2.0,162.38,324.76
1335,Enterprise,8998.0,2026-06-30,110.0,Product-110,7.0,257.81,1804.67
1851,Enterprise,9005.0,2026-06-30,150.0,Product-150,9.0,188.89,1700.01
1899,Enterprise,8968.0,2026-06-29,122.0,Product-122,6.0,339.04,2034.24
1073,Enterprise,8948.0,2026-06-28,119.0,Product-119,2.0,181.62,363.24
1336,Enterprise,8955.0,2026-06-28,116.0,Product-116,8.0,214.82,1718.56
1336,Enterprise,8955.0,2026-06-28,148.0,Product-148,7.0,46.8,327.6
1425,Enterprise,8956.0,2026-06-28,109.0,Product-109,1.0,314.79,314.79
1629,Enterprise,8940.0,2026-06-28,127.0,Product-127,7.0,173.17,1212.19
1822,Enterprise,8946.0,2026-06-28,132.0,Product-132,2.0,26.75,53.5
1007,Enterprise,8924.0,2026-06-27,133.0,Product-133,6.0,166.63,999.78
1007,Enterprise,8924.0,2026-06-27,140.0,Product-140,4.0,143.51,574.04
1529,Enterprise,8932.0,2026-06-27,147.0,Product-147,7.0,293.51,2054.57
1765,Enterprise,8936.0,2026-06-27,144.0,Product-144,3.0,14.75,44.25
1245,Enterprise,8910.0,2026-06-26,140.0,Product-140,8.0,143.51,1148.08
1011,Enterprise,8876.0,2026-06-25,110.0,Product-110,7.0,257.81,1804.67
1011,Enterprise,8876.0,2026-06-25,132.0,Product-132,6.0,26.75,160.5
1206,Enterprise,8877.0,2026-06-25,120.0,Product-120,8.0,459.38,3675.04
1206,Enterprise,8877.0,2026-06-25,134.0,Product-134,3.0,407.11,1221.33
