customer_type,industry,customers,total_transactions,total_revenue,avg_order,revenue_per_customer,revenue_rank
Enterprise,HealthTech,5,23,1032384.82,44886.3,206476.96,1
Enterprise,EdTech,7,23,1005572.24,43720.53,143653.18,2
Enterprise,RetailTech,6,19,849033.28,44685.96,141505.55,3
SMB,RetailTech,31,123,604672.07,4916.03,19505.55,4
Enterprise,Logistics,3,11,471384.89,42853.17,157128.3,5
SMB,EdTech,21,78,368548.23,4724.98,17549.92,6
SMB,SaaS,22,74,356064.77,4811.69,16184.76,7
SMB,HealthTech,21,69,354487.3,5137.5,16880.35,8
SMB,FinTech,23,70,345665.92,4938.08,15028.95,9
SMB,Logistics,22,64,329473.02,5148.02,14976.05,10
Enterprise,FinTech,3,7,250797.36,35828.19,83599.12,11
Startup,SaaS,50,187,175315.37,937.52,3506.31,12
Startup,HealthTech,41,127,120549.42,949.21,2940.23,13
Startup,RetailTech,35,128,113494.68,886.68,3242.71,14
Startup,Logistics,37,119,110330.74,927.15,2981.91,15
Startup,EdTech,25,101,98546.9,975.71,3941.88,16
Startup,FinTech,29,98,89254.68,910.76,3077.75,17
