customer_type,month,unique_customers,transaction_count,monthly_revenue,avg_transaction,revenue_per_customer
Enterprise,2026-08,8,8,359647.83,44955.98,44955.98
SMB,2026-08,37,46,207742.95,4516.15,5614.67
Startup,2026-08,64,78,71007.82,910.36,1109.5
Enterprise,2026-07,17,26,1112004.49,42769.4,65412.03
SMB,2026-07,84,123,616359.68,5011.05,7337.62
Startup,2026-07,128,191,190103.26,995.31,1485.18
Enterprise,2026-06,11,16,758896.96,47431.06,68990.63
SMB,2026-06,71,94,487351.65,5184.59,6864.11
Startup,2026-06,115,145,134043.82,924.44,1165.6
SMB,2026-05,49,60,303721.73,5062.03,6198.4
Enterprise,2026-05,7,7,266364.91,38052.13,38052.13
Startup,2026-05,72,92,84131.81,914.48,1168.5
Enterprise,2026-04,9,11,342949.8,31177.25,38105.53
SMB,2026-04,39,44,223253.03,5073.93,5724.44
Startup,2026-04,50,52,50058.07,962.66,1001.16
Enterprise,2026-03,5,9,331221.4,36802.38,66244.28
SMB,2026-03,24,28,138312.32,4939.73,5763.01
Startup,2026-03,34,39,33132.85,849.56,974.5
Enterprise,2026-02,4,6,215128.3,35854.72,53782.07
SMB,2026-02,19,20,96191.98,4809.6,5062.74
Startup,2026-02,34,40,34366.72,859.17,1010.79
Enterprise,2026-01,3,3,144545.85,48181.95,48181.95
SMB,2026-01,7,8,31008.86,3876.11,4429.84
Startup,2026-01,22,25,21972.42,878.9,998.75
SMB,2025-12,12,12,57924.29,4827.02,4827.02
Startup,2025-12,14,14,12508.68,893.48,893.48
SMB,2025-11,5,5,24552.64,4910.53,4910.53
Startup,2025-11,12,12,12559.51,1046.63,1046.63
SMB,2025-10,5,5,28655.14,5731.03,5731.03
Startup,2025-10,7,7,6959.38,994.2,994.2
Enterprise,2025-09,1,1,59168.09,59168.09,59168.09
SMB,2025-09,5,5,23708.73,4741.75,4741.75
Startup,2025-09,4,4,4804.9,1201.22,1201.22
Enterprise,2025-08,2,2,101608.22,50804.11,50804.11
SMB,2025-08,4,4,19836.48,4959.12,4959.12
Startup,2025-08,7,7,4759.88,679.98,679.98
SMB,2025-07,4,4,24729.31,6182.33,6182.33
Startup,2025-07,12,15,13209.8,880.65,1100.82
Enterprise,2025-06,1,1,47670.92,47670.92,47670.92
SMB,2025-06,3,3,10178.95,3392.98,3392.98
Startup,2025-06,3,3,2265.0,755.0,755.0
SMB,2025-05,4,4,9019.21,2254.8,2254.8
Startup,2025-05,5,5,3602.79,720.56,720.56
Enterprise,2025-04,1,1,36225.05,36225.05,36225.05
Startup,2025-04,7,7,5764.97,823.57,823.57
SMB,2025-04,1,1,735.15,735.15,735.15
SMB,2025-03,3,3,18469.8,6156.6,6156.6
Startup,2025-03,8,8,5562.33,695.29,695.29
Enterprise,2025-02,1,1,38937.88,38937.88,38937.88
SMB,2025-02,4,4,12388.76,3097.19,3097.19
Startup,2025-02,5,5,4046.25,809.25,809.25
Enterprise,2025-01,1,1,72408.45,72408.45,72408.45
SMB,2025-01,5,5,24770.65,4954.13,4954.13
Startup,2025-01,11,11,12631.53,1148.32,1148.32
