order_id,customer_id,order_amount,order_date
ORD_10003,CUST_ORPHAN_831,589.27,2025-01-01 02:00:00
ORD_10009,CUST_ORPHAN_338,29.42,2025-01-01 08:00:00
ORD_10015,CUST_ORPHAN_355,82.09,2025-01-01 14:00:00
ORD_10024,CUST_ORPHAN_601,149.13,2025-01-01 23:00:00
ORD_10031,CUST_ORPHAN_381,613.11,2025-01-02 06:00:00
ORD_10034,CUST_ORPHAN_617,313.97,2025-01-02 09:00:00
ORD_10038,CUST_ORPHAN_244,117.24,2025-01-02 13:00:00
ORD_10050,CUST_ORPHAN_218,38.75,2025-01-03 01:00:00
ORD_10055,CUST_ORPHAN_831,163.26,2025-01-03 06:00:00
ORD_10064,CUST_ORPHAN_953,97.0,2025-01-03 15:00:00
ORD_10074,CUST_ORPHAN_851,244.67,2025-01-04 01:00:00
ORD_10098,CUST_ORPHAN_693,320.96,2025-01-05 01:00:00
ORD_10099,CUST_ORPHAN_646,702.35,2025-01-05 02:00:00
ORD_10115,CUST_ORPHAN_953,664.79,2025-01-05 18:00:00
ORD_10116,CUST_ORPHAN_489,322.82,2025-01-05 19:00:00
ORD_10120,CUST_ORPHAN_489,493.21,2025-01-05 23:00:00
ORD_10138,CUST_ORPHAN_897,423.23,2025-01-06 17:00:00
ORD_10140,CUST_ORPHAN_709,656.5,2025-01-06 19:00:00
ORD_10146,CUST_ORPHAN_788,433.07,2025-01-07 01:00:00
ORD_10149,CUST_ORPHAN_894,236.32,2025-01-07 04:00:00
ORD_10162,CUST_ORPHAN_338,624.92,2025-01-07 17:00:00
ORD_10169,CUST_ORPHAN_953,149.32,2025-01-08 00:00:00
ORD_10172,CUST_ORPHAN_162,315.96,2025-01-08 03:00:00
ORD_10185,CUST_ORPHAN_104,116.49,2025-01-08 16:00:00
ORD_10189,CUST_ORPHAN_244,59.83,2025-01-08 20:00:00
ORD_10196,CUST_ORPHAN_693,618.96,2025-01-09 03:00:00
ORD_10201,CUST_ORPHAN_323,424.92,2025-01-09 08:00:00
ORD_10210,CUST_ORPHAN_897,180.96,2025-01-09 17:00:00
