customer_id,segment,revenue,last_activity,churn_risk
CUST-1006,Enterprise,19765.48,2024-01-06,High
CUST-1010,Enterprise,16306.03,2024-01-10,High
CUST-1021,Enterprise,39586.1,2024-01-20,Low
CUST-1029,Enterprise,6294.82,2024-01-27,Low
CUST-1032,Enterprise,31101.79,2024-01-30,Low
CUST-1037,Enterprise,41182.07,2024-02-03,Low
CUST-1040,Enterprise,4699.47,2024-02-06,Low
CUST-1042,Enterprise,19026.4,2024-02-08,Low
CUST-1056,Enterprise,1062.01,2024-02-21,Low
CUST-1058,Enterprise,3287.01,2024-02-23,Low
CUST-1066,Enterprise,14642.75,2024-03-01,Low
CUST-1068,Enterprise,11567.99,2024-03-03,Medium
CUST-1072,Enterprise,2636.42,2024-03-06,Low
CUST-1077,Enterprise,27915.79,2024-03-11,Low
CUST-1079,Enterprise,26393.34,2024-03-13,Low
CUST-1083,Enterprise,31564.12,2024-03-16,Low
CUST-1090,Enterprise,23055.01,2024-03-23,Medium
CUST-1098,Enterprise,48732.54,2024-03-30,Low
CUST-1099,Enterprise,49317.43,2024-03-31,Low
CUST-1100,Enterprise,35059.0,2024-04-01,Low
CUST-1109,Enterprise,36423.12,2024-04-09,Low
CUST-1123,Enterprise,42184.89,2024-04-22,Medium
CUST-1128,Enterprise,3290.59,2024-04-27,Low
CUST-1132,Enterprise,49833.52,2024-04-30,High
CUST-1145,Enterprise,18229.05,2024-05-12,Low
CUST-1148,Enterprise,26255.23,2024-05-15,Medium
CUST-1152,Enterprise,27819.39,2024-05-19,Low
CUST-1164,Enterprise,17854.08,2024-05-30,Low
CUST-1168,Enterprise,45255.86,2024-06-02,Low
CUST-1171,Enterprise,39290.82,2024-06-05,High
CUST-1179,Enterprise,13283.1,2024-06-12,Low
CUST-1181,Enterprise,49011.61,2024-06-14,Medium
CUST-1190,Enterprise,7371.95,2024-06-22,Medium
CUST-1201,Enterprise,14290.22,2024-07-02,Low
CUST-1205,Enterprise,23308.55,2024-07-06,Low
CUST-1206,Enterprise,10713.52,2024-07-07,Low
CUST-1208,Enterprise,25419.15,2024-07-09,Low
CUST-1222,Enterprise,18838.37,2024-07-22,High
CUST-1237,Enterprise,12502.29,2024-08-04,Medium
CUST-1244,Enterprise,6428.23,2024-08-11,Medium
CUST-1259,Enterprise,28753.53,2024-08-24,Low
CUST-1262,Enterprise,30485.85,2024-08-27,Medium
CUST-1283,Enterprise,33597.84,2024-09-15,Medium
CUST-1285,Enterprise,28059.76,2024-09-17,Low
CUST-1290,Enterprise,16522.12,2024-09-22,High
CUST-1291,Enterprise,21559.1,2024-09-23,Low
CUST-1294,Enterprise,6184.42,2024-09-25,Low
CUST-1299,Enterprise,24316.44,2024-09-30,Low
CUST-1300,Enterprise,26863.18,2024-10-01,Low
CUST-1311,Enterprise,29984.12,2024-10-11,Low
CUST-1312,Enterprise,23843.02,2024-10-12,Low
CUST-1332,Enterprise,33427.26,2024-10-30,Low
CUST-1333,Enterprise,26391.74,2024-10-31,Low
CUST-1334,Enterprise,18262.11,2024-11-01,Low
CUST-1335,Enterprise,43921.43,2024-11-02,Low
CUST-1339,Enterprise,19158.75,2024-11-06,Low
CUST-1347,Enterprise,27405.87,2024-11-13,Low
CUST-1354,Enterprise,7393.97,2024-11-19,Low
CUST-1356,Enterprise,31193.6,2024-11-21,Low
CUST-1369,Enterprise,41152.24,2024-12-03,Low
CUST-1370,Enterprise,5976.27,2024-12-04,Low
CUST-1371,Enterprise,42399.39,2024-12-05,High
CUST-1372,Enterprise,6810.69,2024-12-06,Low
CUST-1374,Enterprise,39966.12,2024-12-08,Low
CUST-1377,Enterprise,36251.5,2024-12-10,Low
CUST-1380,Enterprise,34850.45,2024-12-13,High
