deal_id,sales_rep,stage,deal_value,email_response_time_hrs,crm_updates,closed,deal_tier
1,Alice,Closed Won,15000.0,2.5,8.0,1,Large
2,Bob,Negotiation,8000.0,12.0,3.0,0,Medium
3,Alice,Proposal,5000.0,1.5,5.0,0,Medium
4,Carol,Closed Lost,20000.0,48.0,1.0,0,Large
5,Bob,Closed Won,11000.0,3.0,7.0,1,Medium
6,Carol,Prospecting,3000.0,6.0,4.0,0,Small
7,Alice,Closed Won,17000.0,1.0,10.0,1,Large
8,Bob,Negotiation,9000.0,15.0,2.0,0,Medium
9,Carol,Proposal,6500.0,4.5,6.0,0,Medium
10,Alice,Closed Won,21000.0,2.0,9.0,1,Large
11,Bob,Closed Lost,4000.0,72.0,1.0,0,Small
12,Carol,Closed Won,13000.0,3.5,8.0,1,Large
13,Alice,Prospecting,2500.0,4.5,4.0,0,Small
14,Bob,Proposal,7000.0,5.0,5.0,0,Medium
15,Carol,Negotiation,18000.0,8.0,6.0,0,Large
16,Alice,Closed Won,15000.0,2.5,8.0,1,Large
17,Bob,Closed Lost,5500.0,60.0,1.0,0,Medium
18,Carol,Closed Won,12000.0,4.0,7.0,1,Large
19,Alice,Negotiation,9500.0,10.0,5.0,0,Medium
20,Bob,Prospecting,9500.0,3.0,4.0,0,Medium
