customer_id,customer_name,region,signup_date
CUST_0851,Customer_851,East,2025-03-01
CUST_0852,Customer_852,South,2025-03-01
CUST_0853,Customer_853,North,2025-03-02
CUST_0854,Customer_854,East,2025-03-02
CUST_0855,Customer_855,East,2025-03-03
CUST_0856,Customer_856,North,2025-03-03
CUST_0857,Customer_857,East,2025-03-04
CUST_0858,Customer_858,East,2025-03-04
CUST_0859,Customer_859,South,2025-03-05
CUST_0860,Customer_860,East,2025-03-05
CUST_0861,Customer_861,West,2025-03-06
CUST_0862,Customer_862,North,2025-03-06
CUST_0863,Customer_863,South,2025-03-07
CUST_0864,Customer_864,South,2025-03-07
CUST_0865,Customer_865,West,2025-03-08
CUST_0866,Customer_866,North,2025-03-08
CUST_0867,Customer_867,North,2025-03-09
CUST_0868,Customer_868,South,2025-03-09
CUST_0869,Customer_869,East,2025-03-10
CUST_0870,Customer_870,South,2025-03-10
CUST_0871,Customer_871,North,2025-03-11
CUST_0872,Customer_872,West,2025-03-11
CUST_0873,Customer_873,South,2025-03-12
CUST_0874,Customer_874,North,2025-03-12
CUST_0875,Customer_875,South,2025-03-13
CUST_0876,Customer_876,East,2025-03-13
CUST_0877,Customer_877,South,2025-03-14
CUST_0878,Customer_878,South,2025-03-14
CUST_0879,Customer_879,North,2025-03-15
CUST_0880,Customer_880,North,2025-03-15
CUST_0881,Customer_881,North,2025-03-16
CUST_0882,Customer_882,South,2025-03-16
CUST_0883,Customer_883,East,2025-03-17
CUST_0884,Customer_884,West,2025-03-17
CUST_0885,Customer_885,West,2025-03-18
CUST_0886,Customer_886,North,2025-03-18
CUST_0887,Customer_887,North,2025-03-19
CUST_0888,Customer_888,South,2025-03-19
CUST_0889,Customer_889,West,2025-03-20
CUST_0890,Customer_890,North,2025-03-20
CUST_0891,Customer_891,East,2025-03-21
CUST_0892,Customer_892,East,2025-03-21
CUST_0893,Customer_893,North,2025-03-22
CUST_0894,Customer_894,North,2025-03-22
CUST_0895,Customer_895,West,2025-03-23
CUST_0896,Customer_896,West,2025-03-23
CUST_0897,Customer_897,South,2025-03-24
CUST_0898,Customer_898,West,2025-03-24
CUST_0899,Customer_899,East,2025-03-25
CUST_0900,Customer_900,East,2025-03-25
CUST_0901,Customer_901,North,2025-03-26
CUST_0902,Customer_902,West,2025-03-26
CUST_0903,Customer_903,South,2025-03-27
CUST_0904,Customer_904,East,2025-03-27
CUST_0905,Customer_905,East,2025-03-28
CUST_0906,Customer_906,South,2025-03-28
CUST_0907,Customer_907,South,2025-03-29
CUST_0908,Customer_908,East,2025-03-29
CUST_0909,Customer_909,East,2025-03-30
CUST_0910,Customer_910,South,2025-03-30
CUST_0911,Customer_911,East,2025-03-31
CUST_0912,Customer_912,North,2025-03-31
CUST_0913,Customer_913,North,2025-04-01
CUST_0914,Customer_914,South,2025-04-01
CUST_0915,Customer_915,West,2025-04-02
CUST_0916,Customer_916,South,2025-04-02
CUST_0917,Customer_917,South,2025-04-03
CUST_0918,Customer_918,West,2025-04-03
CUST_0919,Customer_919,West,2025-04-04
CUST_0920,Customer_920,West,2025-04-04
CUST_0921,Customer_921,North,2025-04-05
CUST_0922,Customer_922,East,2025-04-05
CUST_0923,Customer_923,North,2025-04-06
CUST_0924,Customer_924,East,2025-04-06
CUST_0925,Customer_925,North,2025-04-07
CUST_0926,Customer_926,East,2025-04-07
CUST_0927,Customer_927,North,2025-04-08
CUST_0928,Customer_928,West,2025-04-08
CUST_0929,Customer_929,South,2025-04-09
CUST_0930,Customer_930,North,2025-04-09
CUST_0931,Customer_931,East,2025-04-10
CUST_0932,Customer_932,West,2025-04-10
CUST_0933,Customer_933,North,2025-04-11
CUST_0934,Customer_934,North,2025-04-11
CUST_0935,Customer_935,West,2025-04-12
CUST_0936,Customer_936,North,2025-04-12
CUST_0937,Customer_937,South,2025-04-13
CUST_0938,Customer_938,North,2025-04-13
CUST_0939,Customer_939,South,2025-04-14
CUST_0940,Customer_940,South,2025-04-14
CUST_0941,Customer_941,West,2025-04-15
CUST_0942,Customer_942,North,2025-04-15
CUST_0943,Customer_943,West,2025-04-16
CUST_0944,Customer_944,North,2025-04-16
CUST_0945,Customer_945,North,2025-04-17
CUST_0946,Customer_946,East,2025-04-17
CUST_0947,Customer_947,North,2025-04-18
CUST_0948,Customer_948,West,2025-04-18
CUST_0949,Customer_949,South,2025-04-19
CUST_0950,Customer_950,North,2025-04-19
CUST_0951,Customer_951,East,2025-04-20
CUST_0952,Customer_952,West,2025-04-20
CUST_0953,Customer_953,North,2025-04-21
CUST_0954,Customer_954,West,2025-04-21
CUST_0955,Customer_955,East,2025-04-22
CUST_0956,Customer_956,East,2025-04-22
CUST_0957,Customer_957,West,2025-04-23
CUST_0958,Customer_958,North,2025-04-23
CUST_0959,Customer_959,South,2025-04-24
CUST_0960,Customer_960,East,2025-04-24
CUST_0961,Customer_961,North,2025-04-25
CUST_0962,Customer_962,North,2025-04-25
CUST_0963,Customer_963,South,2025-04-26
CUST_0964,Customer_964,East,2025-04-26
CUST_0965,Customer_965,East,2025-04-27
CUST_0966,Customer_966,North,2025-04-27
CUST_0967,Customer_967,North,2025-04-28
CUST_0968,Customer_968,South,2025-04-28
CUST_0969,Customer_969,South,2025-04-29
CUST_0970,Customer_970,East,2025-04-29
CUST_0971,Customer_971,West,2025-04-30
CUST_0972,Customer_972,East,2025-04-30
CUST_0973,Customer_973,North,2025-05-01
CUST_0974,Customer_974,East,2025-05-01
CUST_0975,Customer_975,West,2025-05-02
CUST_0976,Customer_976,South,2025-05-02
CUST_0977,Customer_977,West,2025-05-03
CUST_0978,Customer_978,West,2025-05-03
CUST_0979,Customer_979,West,2025-05-04
CUST_0980,Customer_980,South,2025-05-04
CUST_0981,Customer_981,West,2025-05-05
CUST_0982,Customer_982,West,2025-05-05
CUST_0983,Customer_983,West,2025-05-06
CUST_0984,Customer_984,North,2025-05-06
CUST_0985,Customer_985,West,2025-05-07
CUST_0986,Customer_986,South,2025-05-07
CUST_0987,Customer_987,West,2025-05-08
CUST_0988,Customer_988,West,2025-05-08
CUST_0989,Customer_989,South,2025-05-09
CUST_0990,Customer_990,West,2025-05-09
CUST_0991,Customer_991,South,2025-05-10
CUST_0992,Customer_992,West,2025-05-10
CUST_0993,Customer_993,South,2025-05-11
CUST_0994,Customer_994,West,2025-05-11
CUST_0995,Customer_995,West,2025-05-12
CUST_0996,Customer_996,North,2025-05-12
CUST_0997,Customer_997,North,2025-05-13
CUST_0998,Customer_998,West,2025-05-13
CUST_0999,Customer_999,West,2025-05-14
CUST_1000,Customer_1000,East,2025-05-14
