order_id,customer_id,order_date,order_amount
9951,99001,2026-08-09,1328.41
9952,99002,2026-08-09,2429.89
9953,99003,2026-08-09,4960.48
9954,99004,2026-08-09,3448.92
9955,99005,2026-08-09,4214.72
9956,99006,2026-08-09,2103.5
9957,99007,2026-08-09,3850.91
9958,99008,2026-08-09,250.52
9959,99009,2026-08-09,658.41
9960,99010,2026-08-09,1055.2
9961,99011,2026-08-09,2039.66
9962,99012,2026-08-09,4236.44
9963,99013,2026-08-09,1764.02
9964,99014,2026-08-09,3290.37
9965,99015,2026-08-09,3561.11
9966,99016,2026-08-09,2951.6
9967,99017,2026-08-09,1818.35
9968,99018,2026-08-09,2906.41
9969,99019,2026-08-09,1744.21
9970,99020,2026-08-09,465.18
9971,99021,2026-08-10,4964.38
9972,99022,2026-08-10,679.55
9973,99023,2026-08-10,408.12
9974,99024,2026-08-10,4398.73
9975,99025,2026-08-10,1544.08
9976,99026,2026-08-10,3268.97
9977,99027,2026-08-10,1678.58
9978,99028,2026-08-10,1987.7
9979,99029,2026-08-10,1347.46
9980,99030,2026-08-10,1748.07
9981,99031,2026-08-10,2082.97
9982,99032,2026-08-10,3616.06
9983,99033,2026-08-10,2582.1
9984,99034,2026-08-10,4720.65
9985,99035,2026-08-10,257.31
9986,99036,2026-08-10,2540.19
9987,99037,2026-08-10,2941.91
9988,99038,2026-08-10,4604.98
9989,99039,2026-08-10,293.33
9990,99040,2026-08-10,2888.82
9991,99041,2026-08-10,4275.47
9992,99042,2026-08-10,1247.54
9993,99043,2026-08-10,4387.65
9994,99044,2026-08-10,144.26
9995,99045,2026-08-11,3675.65
9996,99046,2026-08-11,4668.91
9997,99047,2026-08-11,3303.13
9998,99048,2026-08-11,2223.19
9999,99049,2026-08-11,272.16
10000,99050,2026-08-11,4604.56
