customer_id,customer_type,order_id,order_amount
1001,SMB,5705,2844.72
1001,SMB,5777,2527.87
1001,SMB,7014,3604.44
1001,SMB,7265,3526.87
1001,SMB,7641,1529.68
1001,SMB,8383,2742.2
1001,SMB,9630,64.95
1002,Startup,5486,3017.33
1002,Startup,5629,2899.19
1002,Startup,5902,3394.15
1002,Startup,9592,3287.41
1003,Startup,5114,105.95
1003,Startup,5189,2910.14
1003,Startup,5841,1818.1
1003,Startup,7867,2217.02
1003,Startup,8066,1927.86
1003,Startup,8767,3734.88
1003,Startup,9006,2082.09
1004,Startup,8275,2435.87
1005,SMB,8038,789.53
1005,SMB,9757,1286.84
1005,SMB,9832,922.16
1005,SMB,9935,2385.19
1006,SMB,8821,2828.71
1006,SMB,9534,1326.8
1006,SMB,9689,4396.67
1006,SMB,9927,1191.66
1007,Enterprise,5267,2062.62
1007,Enterprise,5345,973.87
1007,Enterprise,5527,4203.78
1007,Enterprise,6153,1733.02
1007,Enterprise,7391,519.5
1007,Enterprise,8623,2588.11
1007,Enterprise,8924,1704.37
1008,Startup,5747,1199.51
1008,Startup,6359,944.25
1008,Startup,6880,4116.28
1008,Startup,7151,903.31
1008,Startup,8124,2755.74
1008,Startup,9324,3208.56
1008,Startup,9897,564.0
1009,Startup,5508,2879.46
1010,Startup,5662,502.54
1010,Startup,5942,348.12
1010,Startup,6337,1848.85
1010,Startup,6540,740.28
1010,Startup,7724,435.5
1010,Startup,8167,438.75
1010,Startup,8354,4673.24
1010,Startup,9753,815.69
1011,Enterprise,5141,1095.07
1011,Enterprise,5459,3928.17
1011,Enterprise,8876,525.82
1011,Enterprise,9425,3723.89
1012,Startup,5002,3083.34
1012,Startup,5543,275.65
1012,Startup,5716,1318.15
1012,Startup,5852,3332.57
1012,Startup,6075,1322.46
1012,Startup,6138,3669.69
1012,Startup,6193,3350.09
1012,Startup,6556,4834.78
1012,Startup,7748,4607.74
1012,Startup,7950,332.64
1012,Startup,8482,4713.82
1013,Startup,6287,444.59
1013,Startup,6548,2002.67
1013,Startup,7599,2780.86
1013,Startup,7688,2326.71
1013,Startup,7810,2882.8
1013,Startup,7843,4025.9
1013,Startup,9311,676.95
1013,Startup,9407,4906.1
1013,Startup,9598,631.51
1013,Startup,9948,676.4
