customer_id,total_transactions,days_as_customer,total_spent,days_since_last_purchase,purchase_count
CUST_2000,13,132,2018.17,30,13
CUST_2001,21,465,1280.51,68,21
CUST_2002,13,300,2117.22,18,13
CUST_2003,15,136,1959.77,62,15
CUST_2004,17,101,764.95,37,17
CUST_2005,13,50,1268.0,25,13
CUST_2006,16,644,2817.85,48,16
CUST_2007,12,151,2238.22,65,12
CUST_2008,19,496,2023.45,53,19
CUST_2009,14,244,1528.05,79,14
CUST_2010,16,360,2971.67,73,16
CUST_2011,13,488,1660.58,15,13
CUST_2012,22,117,676.46,49,22
CUST_2013,14,402,2586.24,88,14
CUST_2014,13,129,889.72,68,13
CUST_2015,17,693,2143.46,12,17
CUST_2016,16,160,863.44,59,16
CUST_2017,21,691,649.51,37,21
CUST_2018,25,338,1987.7,61,25
CUST_2019,17,373,2746.97,43,17
CUST_2020,31,521,2280.91,70,31
CUST_2021,14,443,889.24,39,14
CUST_2022,13,415,808.85,56,13
CUST_2023,14,221,1612.18,63,14
CUST_2024,9,306,1761.48,46,9
CUST_2025,18,190,1895.82,88,18
CUST_2026,13,489,1592.87,11,13
CUST_2027,14,343,2458.55,62,14
CUST_2028,11,51,1305.01,77,11
CUST_2029,17,282,973.78,25,17
CUST_2030,15,590,1161.44,71,15
CUST_2031,17,504,1347.06,52,17
CUST_2032,12,88,1134.37,4,12
CUST_2033,15,540,1495.32,59,15
CUST_2034,21,711,3464.2,72,21
CUST_2035,17,505,1464.43,20,17
CUST_2036,18,729,1924.93,63,18
CUST_2037,13,219,1746.82,54,13
CUST_2038,14,716,1275.43,74,14
CUST_2039,14,592,2399.58,57,14
CUST_2040,15,596,1917.07,41,15
CUST_2041,12,273,917.49,3,12
CUST_2042,18,534,2699.29,6,18
CUST_2043,19,160,2229.43,5,19
CUST_2044,15,514,1777.95,5,15
CUST_2045,19,676,2074.62,54,19
CUST_2046,12,50,1343.73,47,12
CUST_2047,15,196,2384.06,87,15
CUST_2048,15,303,645.33,49,15
CUST_2049,10,417,835.13,9,10
CUST_2050,23,630,878.9,20,23
CUST_2051,16,345,2509.09,61,16
CUST_2052,15,43,1089.79,35,15
CUST_2053,11,271,2002.55,50,11
CUST_2054,14,375,1640.12,82,14
CUST_2055,10,594,1651.31,62,10
CUST_2056,20,369,3926.26,17,20
CUST_2057,16,121,2751.41,88,16
CUST_2058,21,396,3711.2,3,21
CUST_2059,16,484,1542.36,32,16
CUST_2060,18,457,2187.93,13,18
CUST_2061,21,538,1458.04,89,21
CUST_2062,20,64,1186.4,73,20
CUST_2063,17,235,1928.89,68,17
CUST_2064,17,110,2195.27,14,17
CUST_2065,18,591,1518.7,11,18
CUST_2066,13,417,1620.48,56,13
CUST_2067,14,31,2524.28,67,14
CUST_2068,17,419,2081.25,29,17
CUST_2069,18,595,2720.56,9,18
CUST_2070,18,135,2986.74,67,18
CUST_2071,13,506,2574.36,25,13
CUST_2072,18,431,2350.07,76,18
CUST_2073,23,585,3822.57,42,23
CUST_2074,16,191,3095.42,9,16
CUST_2075,17,231,3234.62,79,17
CUST_2076,19,299,944.1,40,19
CUST_2077,13,300,1249.54,25,13
CUST_2078,21,485,1715.66,5,21
CUST_2079,13,491,522.75,11,13
CUST_2080,19,281,2580.53,59,19
CUST_2081,14,325,2152.97,88,14
CUST_2082,16,367,2774.76,79,16
CUST_2083,13,82,604.32,38,13
CUST_2084,21,246,3745.93,72,21
