customer_id,transactions_per_month,engagement,support_tickets,days_since_last_purchase,total_spent,churn
CUST_3000,7.8,36.14,2,7,1946.73,1
CUST_3001,19.04,91.3,12,45,581.34,1
CUST_3002,14.77,69.33,11,32,2004.36,1
CUST_3003,12.17,53.05,5,30,3828.36,1
CUST_3004,3.54,13.25,10,43,20.0,1
CUST_3005,3.54,17.41,10,36,2525.55,1
CUST_3006,1.63,3.39,6,30,546.88,0
CUST_3007,17.39,83.75,11,37,823.94,1
CUST_3008,12.22,58.54,7,32,20.0,1
CUST_3009,14.31,62.98,7,22,663.23,1
CUST_3010,0.9,-1.08,9,26,1791.74,1
CUST_3011,19.41,91.42,8,32,20.0,1
CUST_3012,16.73,74.95,2,8,2368.21,0
CUST_3013,4.64,24.6,15,37,2940.81,1
CUST_3014,4.05,13.42,10,43,20.0,1
CUST_3015,4.08,16.55,1,12,3822.01,1
CUST_3016,6.43,28.96,10,33,709.27,1
CUST_3017,10.73,48.44,4,12,3199.98,0
CUST_3018,8.92,38.8,5,13,1048.64,1
CUST_3019,6.18,29.67,8,33,20.0,0
CUST_3020,12.43,52.74,2,7,746.06,1
CUST_3021,3.22,14.06,9,41,20.0,1
CUST_3022,6.2,28.25,9,34,20.0,1
CUST_3023,7.64,35.94,4,17,2788.12,1
CUST_3024,9.39,44.4,0,2,4415.16,0
CUST_3025,15.81,67.78,2,8,3818.55,0
CUST_3026,4.39,15.17,8,24,2689.53,1
CUST_3027,10.53,51.21,20,68,20.0,1
CUST_3028,12.05,55.23,6,29,717.69,1
CUST_3029,1.41,4.08,2,6,1377.38,0
CUST_3030,12.35,60.22,6,22,520.68,1
CUST_3031,3.83,17.56,6,18,2002.33,0
CUST_3032,1.77,11.5,8,25,1513.47,1
CUST_3033,19.0,85.72,2,5,1758.22,0
CUST_3034,19.33,93.17,7,30,688.44,1
CUST_3035,16.26,78.45,5,20,3536.49,1
CUST_3036,6.44,28.23,18,59,1330.24,1
CUST_3037,2.4,13.74,2,15,1273.51,0
CUST_3038,13.84,64.23,5,25,3776.47,0
CUST_3039,9.08,44.98,13,44,2617.86,1
