date,revenue,orders
2026-01-01,7796.06,54
2026-01-02,7067.6,52
2026-01-03,11344.27,89
2026-01-04,12428.19,107
2026-01-05,7053.09,55
2026-01-06,7086.63,53
2026-01-07,9296.17,80
2026-01-08,8355.56,57
2026-01-09,6904.79,69
2026-01-10,11452.75,88
2026-01-11,10279.09,68
2026-01-12,7009.84,65
2026-01-13,7892.59,66
2026-01-14,5339.82,42
2026-01-15,5599.37,53
2026-01-16,7028.05,56
2026-01-17,9820.92,83
2026-01-18,11446.93,91
2026-01-19,6713.72,64
2026-01-20,6142.11,48
2026-01-21,9629.17,76
2026-01-22,7632.98,59
2026-01-23,8018.46,58
2026-01-24,9561.25,49
2026-01-25,10651.21,90
2026-01-26,8171.1,54
2026-01-27,6690.32,60
2026-01-28,8555.87,70
2026-01-29,7417.78,44
2026-01-30,7822.03,63
2026-01-31,10783.54,81
2026-02-01,13761.84,110
2026-02-02,8256.43,64
2026-02-03,7036.89,64
2026-02-04,9326.72,70
2026-02-05,6908.17,48
2026-02-06,8657.34,68
2026-02-07,9388.62,76
2026-02-08,10179.92,96
2026-02-09,8743.5,69
2026-02-10,9426.94,70
2026-02-11,8779.94,65
2026-02-12,8469.04,48
2026-02-13,8280.02,74
2026-02-14,10200.63,77
2026-02-15,11144.57,84
2026-02-16,8189.13,56
2026-02-17,10043.97,74
2026-02-18,9221.28,74
2026-02-19,6726.81,51
2026-02-20,9264.88,71
2026-02-21,11747.4,92
2026-02-22,11430.71,70
2026-02-23,9710.55,90
2026-02-24,10247.26,75
2026-02-25,10161.11,76
2026-02-26,8070.03,78
2026-02-27,8739.56,60
2026-02-28,12841.65,81
2026-03-01,13648.31,85
2026-03-02,8636.16,53
2026-03-03,9021.9,79
2026-03-04,7950.61,70
2026-03-05,7876.28,52
2026-03-06,10320.28,81
2026-03-07,14306.26,112
2026-03-08,12625.88,88
2026-03-09,10650.05,87
2026-03-10,9913.29,73
2026-03-11,8738.71,64
2026-03-12,9980.04,86
2026-03-13,11425.53,93
2026-03-14,12870.42,95
2026-03-15,14824.5,103
2026-03-16,6536.75,51
2026-03-17,10700.25,94
2026-03-18,9851.94,71
2026-03-19,9422.2,90
2026-03-20,9924.64,79
2026-03-21,10762.96,76
2026-03-22,12917.96,101
2026-03-23,10343.62,86
2026-03-24,11722.08,74
2026-03-25,9360.2,56
2026-03-26,9045.45,69
2026-03-27,9447.05,68
2026-03-28,14481.16,94
2026-03-29,13810.7,105
2026-03-30,9514.01,60
2026-03-31,10799.16,66
2026-04-01,10333.25,83
2026-04-02,11412.65,83
2026-04-03,9441.34,69
2026-04-04,13224.12,106
2026-04-05,13180.31,95
2026-04-06,8628.14,56
2026-04-07,10773.22,63
2026-04-08,10764.66,69
2026-04-09,10491.05,85
2026-04-10,10236.93,100
2026-04-11,12153.51,85
2026-04-12,13380.7,82
2026-04-13,10207.74,81
2026-04-14,9689.78,73
2026-04-15,10492.49,81
2026-04-16,11204.41,64
2026-04-17,13016.5,95
2026-04-18,14296.09,98
2026-04-19,14429.17,105
2026-04-20,10764.3,83
2026-04-21,8584.63,71
2026-04-22,10888.85,77
2026-04-23,11026.47,88
2026-04-24,13943.6,118
2026-04-25,14090.4,106
2026-04-26,14716.61,84
2026-04-27,11046.61,80
2026-04-28,9719.37,76
2026-04-29,12526.69,103
2026-04-30,12091.15,88
2026-05-01,12171.58,102
2026-05-02,13464.6,98
2026-05-03,16272.74,142
2026-05-04,9640.68,67
2026-05-05,12060.65,93
2026-05-06,14018.49,89
2026-05-07,10234.82,78
2026-05-08,10777.43,81
2026-05-09,14910.08,110
2026-05-10,14219.85,117
2026-05-11,9696.75,64
2026-05-12,11673.34,94
2026-05-13,10349.82,83
2026-05-14,12226.41,79
2026-05-15,10588.31,76
2026-05-16,16885.06,119
2026-05-17,14118.76,119
2026-05-18,11405.7,86
2026-05-19,12801.92,92
2026-05-20,10382.18,79
2026-05-21,12165.69,90
2026-05-22,13494.83,99
2026-05-23,13330.8,102
2026-05-24,15514.86,95
2026-05-25,12338.67,80
2026-05-26,12998.52,84
2026-05-27,10609.51,71
2026-05-28,10542.83,92
2026-05-29,12787.22,100
2026-05-30,15850.8,105
2026-05-31,15828.52,104
2026-06-01,12677.19,84
2026-06-02,11478.94,74
2026-06-03,12607.2,85
2026-06-04,12713.7,94
2026-06-05,11538.31,89
2026-06-06,17967.98,143
2026-06-07,16331.17,97
2026-06-08,11066.53,91
2026-06-09,13317.47,88
2026-06-10,11393.51,82
2026-06-11,13541.15,103
2026-06-12,14020.48,102
2026-06-13,14978.87,82
2026-06-14,17153.26,124
2026-06-15,13226.06,84
2026-06-16,13750.72,102
2026-06-17,15073.92,103
2026-06-18,12536.82,85
2026-06-19,11960.32,77
2026-06-20,15130.91,113
2026-06-21,15252.87,120
2026-06-22,12872.84,80
2026-06-23,13408.27,101
2026-06-24,13364.43,97
2026-06-25,14058.54,97
2026-06-26,13115.04,101
2026-06-27,18177.2,134
2026-06-28,16148.89,101
2026-06-29,16464.2,111
