customer_id,customer_type,region,product_tier,lifetime_value,churn,support_tickets,retention_days,feature_adoption_score,nps_score
CUST_5521,Startup,EMEA,Free,2142.67,0,3,130,47.2,-6.0
CUST_5737,Startup,AMER,Free,3449.8,0,1,219,24.8,0.5
CUST_5740,Startup,AMER,Free,2388.04,0,2,95,25.4,18.3
CUST_5660,Startup,EMEA,Free,2068.29,0,0,168,18.8,36.3
CUST_5411,SMB,APAC,Gold,11650.43,1,5,377,75.5,37.1
CUST_5678,Startup,AMER,Free,3908.41,0,8,105,31.3,-0.5
CUST_5626,Startup,AMER,Free,2387.6,0,4,197,16.3,39.5
CUST_5513,Startup,EMEA,Free,3598.19,1,2,77,50.0,-3.1
CUST_5859,Startup,APAC,Silver,1197.13,0,3,102,29.5,24.8
CUST_5136,SMB,APAC,Silver,8631.53,0,2,490,68.7,33.5
CUST_5811,Startup,AMER,Free,3516.69,0,2,155,46.8,13.6
CUST_5076,SMB,EMEA,Gold,10398.89,0,4,213,54.0,44.9
CUST_5636,Startup,APAC,Free,2597.85,0,3,282,41.5,16.5
CUST_5973,Startup,EMEA,Silver,1644.82,0,0,37,29.0,-7.6
CUST_5938,Startup,EMEA,Silver,1353.25,0,3,107,37.9,13.4
CUST_5899,Startup,AMER,Free,1256.53,0,3,190,54.6,3.9
CUST_5280,SMB,AMER,Gold,11230.04,0,2,587,78.9,40.4
CUST_5883,Startup,EMEA,Silver,1312.33,0,1,185,51.4,1.1
CUST_5761,Startup,EMEA,Silver,1935.17,0,2,78,32.9,7.3
CUST_5319,SMB,APAC,Silver,6751.7,1,6,392,75.0,50.8
CUST_5549,Startup,AMER,Free,3316.96,0,5,168,33.8,30.8
CUST_5174,SMB,AMER,Gold,9516.21,0,5,327,72.5,38.9
CUST_5371,SMB,AMER,Silver,5127.55,0,3,440,74.0,40.1
CUST_5527,Startup,AMER,Free,1820.22,0,6,286,51.9,35.9
CUST_5210,SMB,EMEA,Silver,8841.14,0,3,458,47.3,12.3
CUST_5235,SMB,AMER,Gold,10057.16,0,8,452,79.3,19.9
CUST_5101,SMB,AMER,Gold,9454.87,0,5,364,56.1,37.2
CUST_5986,Startup,AMER,Silver,3065.21,0,3,279,33.7,35.6
CUST_5902,Startup,APAC,Silver,1544.31,0,1,91,16.2,37.7
CUST_5947,Startup,AMER,Free,3700.06,0,2,240,54.5,-12.1
CUST_5346,SMB,AMER,Gold,9445.66,0,8,556,51.0,25.7
CUST_5139,SMB,APAC,Silver,11802.47,0,6,182,50.8,52.2
CUST_5621,Startup,AMER,Free,1628.05,1,5,114,20.3,-19.5
CUST_5499,Startup,APAC,Silver,3958.63,0,1,220,31.3,21.0
CUST_5370,SMB,APAC,Silver,5705.45,0,3,533,41.9,46.8
CUST_5198,SMB,APAC,Gold,11209.6,0,6,478,64.7,28.9
CUST_5687,Startup,EMEA,Silver,1839.94,0,2,106,18.5,-11.1
CUST_5584,Startup,APAC,Silver,2900.2,0,4,168,54.6,-3.1
CUST_5901,Startup,AMER,Free,1079.6,1,4,86,54.4,32.8
CUST_5059,SMB,EMEA,Silver,7277.31,0,4,104,42.0,21.3
CUST_5328,SMB,APAC,Gold,7937.2,0,4,194,44.2,58.5
CUST_5096,SMB,AMER,Gold,8659.13,0,8,452,44.8,18.6
CUST_5312,SMB,APAC,Gold,5177.46,0,4,292,58.2,38.8
CUST_5974,Startup,AMER,Free,1093.55,0,6,67,45.3,29.7
CUST_5299,SMB,EMEA,Silver,5597.43,0,2,578,68.8,34.5
CUST_5277,SMB,EMEA,Silver,9549.75,0,4,356,78.1,11.1
CUST_5924,Startup,AMER,Silver,2275.64,0,4,107,19.6,5.2
CUST_5601,Startup,EMEA,Silver,1835.77,0,1,133,43.6,38.1
CUST_5439,SMB,EMEA,Silver,5569.44,0,3,445,69.0,58.7
CUST_5837,Startup,AMER,Silver,2087.18,0,6,244,28.1,-2.3
CUST_5570,Startup,EMEA,Silver,2541.97,0,1,223,53.2,10.6
CUST_5879,Startup,AMER,Silver,1665.92,0,4,134,47.3,11.4
CUST_5261,SMB,APAC,Gold,11930.38,0,9,140,43.2,31.0
CUST_5578,Startup,APAC,Free,2476.35,0,3,82,25.8,25.9
CUST_5023,Enterprise,EMEA,Platinum,141981.71,0,2,793,95.6,87.4
CUST_5030,Enterprise,AMER,Gold,156452.69,0,3,1028,95.8,88.6
CUST_5617,Startup,APAC,Free,1830.63,0,4,102,33.8,27.0
CUST_5010,Enterprise,AMER,Platinum,121235.07,0,2,748,94.1,81.1
CUST_5221,SMB,APAC,Gold,8978.16,0,2,490,70.1,37.1
CUST_5820,Startup,APAC,Silver,3408.56,0,3,176,52.7,5.8
CUST_5296,SMB,APAC,Silver,10389.95,0,2,376,69.9,23.2
CUST_5054,SMB,AMER,Silver,9185.3,0,7,279,66.4,18.2
CUST_5542,Startup,AMER,Silver,1685.93,0,2,270,49.7,-5.1
CUST_5209,SMB,AMER,Silver,6125.66,0,1,408,48.6,45.6
CUST_5604,Startup,AMER,Free,1361.91,1,3,228,52.2,5.0
CUST_5692,Startup,EMEA,Silver,2522.83,0,3,234,42.2,-18.8
CUST_5662,Startup,APAC,Silver,2817.32,0,3,204,37.6,12.8
CUST_5866,Startup,APAC,Silver,1465.72,1,3,258,49.0,28.1
CUST_5070,SMB,EMEA,Silver,10405.71,0,1,512,61.9,49.2
CUST_5543,Startup,APAC,Silver,3015.1,0,4,57,54.3,15.4
CUST_5107,SMB,AMER,Silver,10288.86,0,6,254,43.9,55.2
CUST_5493,Startup,EMEA,Silver,1564.36,1,4,244,17.2,30.8
CUST_5590,Startup,APAC,Silver,1416.48,0,3,188,39.6,-14.8
CUST_5741,Startup,AMER,Free,1904.13,0,3,179,54.3,19.3
CUST_5292,SMB,AMER,Silver,10758.2,0,7,273,70.8,12.4
CUST_5289,SMB,AMER,Silver,9135.83,1,4,235,49.0,54.2
CUST_5652,Startup,APAC,Free,2760.52,0,3,252,39.4,35.0
CUST_5039,Enterprise,AMER,Platinum,146409.15,0,2,722,83.1,79.9
CUST_5589,Startup,AMER,Silver,1455.71,0,3,144,31.6,16.3
CUST_5307,SMB,EMEA,Silver,7260.7,0,4,504,57.1,41.1
CUST_5679,Startup,EMEA,Free,3596.52,0,4,106,28.0,-10.5
CUST_5066,SMB,EMEA,Silver,5986.47,0,5,118,78.0,43.6
CUST_5275,SMB,APAC,Silver,8510.61,1,4,293,60.1,31.3
CUST_5067,SMB,AMER,Silver,10615.38,1,6,283,62.2,54.9
CUST_5318,SMB,APAC,Silver,6095.06,1,4,511,51.7,43.1
CUST_5548,Startup,EMEA,Free,2560.92,1,2,174,28.5,34.5
CUST_5998,Startup,APAC,Silver,3850.71,1,2,108,52.1,18.1
CUST_5714,Startup,AMER,Silver,2046.6,1,5,113,19.5,27.8
CUST_5753,Startup,AMER,Silver,2004.72,0,5,222,51.6,-9.9
CUST_5327,SMB,AMER,Gold,9282.05,0,3,461,64.1,15.8
CUST_5382,SMB,EMEA,Gold,9402.6,0,4,511,76.6,54.0
CUST_5451,Startup,AMER,Silver,2675.21,0,2,230,54.0,12.8
CUST_5522,Startup,AMER,Silver,3909.74,0,5,58,54.6,24.0
CUST_5218,SMB,EMEA,Silver,9547.43,0,3,261,76.5,13.6
CUST_5787,Startup,APAC,Free,2202.55,0,1,222,42.0,-12.9
CUST_5436,SMB,AMER,Gold,5509.34,0,5,429,68.9,29.7
CUST_5764,Startup,APAC,Free,1100.6,0,4,86,27.9,22.1
CUST_5088,SMB,APAC,Gold,11210.49,0,3,543,46.1,40.8
CUST_5063,SMB,AMER,Silver,7497.27,0,6,448,73.0,49.8
CUST_5826,Startup,APAC,Free,2039.04,1,4,286,33.9,5.9
CUST_5716,Startup,APAC,Free,3491.86,1,3,88,54.9,21.2
CUST_5351,SMB,APAC,Gold,10995.43,0,5,560,68.3,19.9
CUST_5936,Startup,EMEA,Silver,1055.17,0,3,216,20.0,-0.9
CUST_5256,SMB,APAC,Gold,11553.08,0,3,242,61.8,49.1
CUST_5635,Startup,EMEA,Free,2342.24,0,5,192,31.3,5.2
CUST_5644,Startup,AMER,Silver,1359.29,0,1,215,22.3,30.0
CUST_5554,Startup,EMEA,Free,3629.96,0,0,37,45.0,0.3
CUST_5959,Startup,EMEA,Silver,3214.1,0,3,287,26.8,-8.5
CUST_5168,SMB,APAC,Gold,5285.43,1,3,145,68.9,57.8
CUST_5917,Startup,APAC,Silver,3845.36,0,1,291,31.2,1.6
CUST_5528,Startup,AMER,Silver,1169.13,0,3,94,20.1,22.5
CUST_5823,Startup,EMEA,Free,2194.51,0,2,123,44.8,19.8
CUST_5985,Startup,AMER,Silver,2486.47,0,5,209,52.9,22.0
CUST_5816,Startup,AMER,Free,2773.83,0,5,43,47.5,22.1
CUST_5086,SMB,AMER,Gold,10107.24,0,2,292,59.2,47.9
CUST_5432,SMB,AMER,Gold,9327.53,0,3,199,72.5,15.6
CUST_5184,SMB,APAC,Silver,6805.59,1,1,364,60.5,52.5
CUST_5978,Startup,AMER,Free,2489.1,0,5,131,42.3,4.8
CUST_5534,Startup,APAC,Silver,3306.96,0,6,62,41.8,-7.2
CUST_5294,SMB,APAC,Gold,5889.42,0,5,290,53.5,30.7
CUST_5892,Startup,AMER,Free,3490.66,0,6,268,34.3,-17.5
CUST_5425,SMB,AMER,Gold,8846.7,0,3,320,44.8,56.4
CUST_5713,Startup,APAC,Free,2235.52,0,2,297,32.8,-11.1
CUST_5260,SMB,APAC,Gold,9305.05,0,2,545,69.0,15.5
CUST_5237,SMB,AMER,Gold,5170.21,0,3,543,52.8,20.2
CUST_5559,Startup,AMER,Silver,2860.93,0,2,49,40.3,28.7
CUST_5583,Startup,EMEA,Free,1986.25,0,2,195,30.2,25.2
CUST_5445,SMB,EMEA,Gold,11630.74,0,4,194,69.1,18.6
CUST_5867,Startup,APAC,Free,1545.78,0,2,283,24.2,-17.5
CUST_5800,Startup,AMER,Free,3121.72,0,3,39,28.5,-13.2
CUST_5599,Startup,AMER,Silver,1122.61,0,2,270,53.1,17.6
CUST_5849,Startup,AMER,Silver,2786.16,0,3,298,20.2,-4.0
CUST_5265,SMB,APAC,Silver,10185.38,1,3,342,72.5,48.2
CUST_5995,Startup,EMEA,Silver,1274.75,0,1,273,42.5,7.1
CUST_5529,Startup,AMER,Free,3594.17,0,2,217,32.8,24.9
CUST_5055,SMB,AMER,Gold,11453.12,0,6,486,57.3,11.7
CUST_5120,SMB,AMER,Silver,10652.08,0,5,99,73.2,16.2
CUST_5215,SMB,AMER,Gold,6660.74,0,4,551,74.4,26.7
CUST_5025,Enterprise,APAC,Platinum,167110.56,0,1,924,87.0,86.7
CUST_5072,SMB,EMEA,Gold,5038.65,1,8,382,65.7,36.0
CUST_5044,Enterprise,AMER,Gold,135526.8,0,2,1043,77.0,83.9
CUST_5247,SMB,AMER,Gold,11766.58,1,4,326,67.9,58.2
CUST_5721,Startup,AMER,Free,1543.7,0,6,44,23.4,-1.1
CUST_5281,SMB,AMER,Gold,7365.97,0,1,128,51.0,56.3
CUST_5893,Startup,APAC,Silver,2191.55,0,3,260,28.2,17.4
CUST_5914,Startup,AMER,Free,2656.14,0,5,209,27.4,27.8
CUST_5810,Startup,AMER,Silver,3954.52,0,1,230,30.1,-5.3
CUST_5244,SMB,AMER,Silver,5108.2,0,7,244,74.7,15.1
CUST_5822,Startup,AMER,Free,2000.5,0,1,147,19.1,5.0
CUST_5321,SMB,AMER,Gold,10002.17,0,3,139,56.7,53.0
CUST_5643,Startup,AMER,Free,1982.49,0,4,199,30.0,23.4
CUST_5158,SMB,APAC,Gold,6663.46,0,4,207,67.4,27.0
CUST_5977,Startup,APAC,Silver,1154.28,0,5,167,37.7,10.3
CUST_5429,SMB,EMEA,Gold,5819.47,0,8,482,40.8,48.4
CUST_5941,Startup,EMEA,Silver,2662.53,0,7,42,43.9,0.0
CUST_5462,Startup,APAC,Free,3238.13,0,1,221,44.6,3.7
CUST_5309,SMB,AMER,Silver,6895.83,0,2,412,55.4,14.7
CUST_5697,Startup,AMER,Free,2743.71,0,3,113,40.7,24.1
CUST_5060,SMB,AMER,Gold,7720.74,0,4,402,44.2,11.3
CUST_5884,Startup,APAC,Free,3399.75,0,3,187,53.5,35.8
CUST_5595,Startup,APAC,Silver,2421.88,0,2,119,40.0,25.6
CUST_5767,Startup,APAC,Silver,3630.3,0,1,100,41.4,10.8
CUST_5649,Startup,APAC,Free,2495.33,0,1,229,46.1,23.0
CUST_5650,Startup,AMER,Free,1260.76,1,3,249,45.0,-6.5
CUST_5865,Startup,AMER,Free,2678.92,0,4,167,31.6,31.2
CUST_5668,Startup,APAC,Silver,1559.7,0,2,201,37.8,-8.9
CUST_5298,SMB,APAC,Silver,9360.23,0,6,342,53.0,18.1
CUST_5689,Startup,APAC,Free,1561.13,0,5,274,41.8,-8.3
CUST_5314,SMB,AMER,Gold,10851.86,0,3,198,41.5,18.8
CUST_5310,SMB,APAC,Silver,8072.8,1,3,145,73.4,29.5
CUST_5361,SMB,APAC,Gold,9503.02,0,5,375,67.0,15.3
CUST_5479,Startup,APAC,Silver,2569.29,0,4,223,19.0,1.0
CUST_5110,SMB,AMER,Gold,7028.26,0,4,375,47.5,31.4
CUST_5989,Startup,AMER,Silver,3457.31,0,1,77,54.2,13.3
CUST_5486,Startup,AMER,Free,1136.34,0,1,154,34.2,20.4
CUST_5363,SMB,EMEA,Gold,8819.32,0,2,442,59.6,50.2
CUST_5254,SMB,AMER,Silver,6186.45,0,5,450,74.2,43.9
CUST_5259,SMB,AMER,Silver,5680.24,0,4,435,42.2,34.5
CUST_5802,Startup,APAC,Free,2728.87,0,2,169,33.2,-13.9
CUST_5677,Startup,AMER,Free,2193.57,0,2,33,31.6,11.6
CUST_5494,Startup,APAC,Silver,2391.1,0,2,100,20.8,-16.2
CUST_5670,Startup,AMER,Free,1520.12,0,0,123,26.0,-9.5
CUST_5377,SMB,APAC,Gold,5162.9,0,4,241,69.4,30.1
CUST_5526,Startup,AMER,Silver,2244.46,0,2,196,15.5,8.8
CUST_5845,Startup,AMER,Silver,2243.87,0,3,244,24.5,-3.4
CUST_5137,SMB,AMER,Gold,9921.13,0,3,528,68.2,36.4
CUST_5355,SMB,APAC,Silver,9496.93,0,5,472,77.3,26.4
CUST_5365,SMB,EMEA,Gold,7702.72,0,5,359,48.9,48.8
CUST_5942,Startup,EMEA,Free,2954.26,0,4,105,52.5,-6.9
CUST_5749,Startup,EMEA,Silver,2872.71,0,4,37,18.4,20.7
CUST_5948,Startup,EMEA,Free,3621.67,0,4,55,39.8,-4.0
CUST_5829,Startup,AMER,Free,2356.65,0,1,201,19.5,-1.5
CUST_5656,Startup,AMER,Free,1851.33,0,3,171,24.0,34.9
CUST_5199,SMB,APAC,Gold,10459.13,0,5,307,57.8,33.7
CUST_5213,SMB,APAC,Silver,6569.89,0,3,137,73.7,31.0
CUST_5408,SMB,AMER,Silver,11337.67,0,4,131,63.1,33.4
CUST_5332,SMB,AMER,Silver,5100.75,0,2,173,61.2,18.4
CUST_5208,SMB,APAC,Gold,5035.43,0,7,204,68.1,11.5
CUST_5613,Startup,APAC,Free,1245.28,0,4,42,41.5,20.0
CUST_5078,SMB,APAC,Silver,7509.26,0,1,544,72.1,11.0
