customer_id,customer_name,region,signup_date
CUST_0001,Customer_1,East,2024-01-01
CUST_0002,Customer_2,West,2024-01-01
CUST_0003,Customer_3,North,2024-01-02
CUST_0004,Customer_4,East,2024-01-02
CUST_0005,Customer_5,East,2024-01-03
CUST_0006,Customer_6,West,2024-01-03
CUST_0007,Customer_7,North,2024-01-04
CUST_0008,Customer_8,North,2024-01-04
CUST_0009,Customer_9,East,2024-01-05
CUST_0010,Customer_10,South,2024-01-05
CUST_0011,Customer_11,East,2024-01-06
CUST_0012,Customer_12,East,2024-01-06
CUST_0013,Customer_13,East,2024-01-07
CUST_0014,Customer_14,East,2024-01-07
CUST_0015,Customer_15,West,2024-01-08
CUST_0016,Customer_16,North,2024-01-08
CUST_0017,Customer_17,West,2024-01-09
CUST_0018,Customer_18,West,2024-01-09
CUST_0019,Customer_19,West,2024-01-10
CUST_0020,Customer_20,East,2024-01-10
CUST_0021,Customer_21,South,2024-01-11
CUST_0022,Customer_22,North,2024-01-11
CUST_0023,Customer_23,South,2024-01-12
CUST_0024,Customer_24,West,2024-01-12
CUST_0025,Customer_25,West,2024-01-13
CUST_0026,Customer_26,South,2024-01-13
CUST_0027,Customer_27,South,2024-01-14
CUST_0028,Customer_28,South,2024-01-14
CUST_0029,Customer_29,West,2024-01-15
CUST_0030,Customer_30,West,2024-01-15
CUST_0031,Customer_31,North,2024-01-16
CUST_0032,Customer_32,North,2024-01-16
CUST_0033,Customer_33,West,2024-01-17
CUST_0034,Customer_34,South,2024-01-17
CUST_0035,Customer_35,South,2024-01-18
CUST_0036,Customer_36,North,2024-01-18
CUST_0037,Customer_37,West,2024-01-19
CUST_0038,Customer_38,North,2024-01-19
CUST_0039,Customer_39,North,2024-01-20
CUST_0040,Customer_40,East,2024-01-20
CUST_0041,Customer_41,East,2024-01-21
CUST_0042,Customer_42,East,2024-01-21
CUST_0043,Customer_43,South,2024-01-22
CUST_0044,Customer_44,West,2024-01-22
CUST_0045,Customer_45,West,2024-01-23
CUST_0046,Customer_46,West,2024-01-23
CUST_0047,Customer_47,West,2024-01-24
CUST_0048,Customer_48,East,2024-01-24
CUST_0049,Customer_49,South,2024-01-25
CUST_0050,Customer_50,South,2024-01-25
CUST_0051,Customer_51,East,2024-01-26
CUST_0052,Customer_52,South,2024-01-26
CUST_0053,Customer_53,East,2024-01-27
CUST_0054,Customer_54,West,2024-01-27
CUST_0055,Customer_55,East,2024-01-28
CUST_0056,Customer_56,West,2024-01-28
CUST_0057,Customer_57,West,2024-01-29
