customer_id,age,revenue,loyalty_score
1001,42,197.6,4.7
1002,36,232.44,3.5
1003,44,352.99,1.5
1004,53,344.83,8.8
1005,35,49.3,8.3
1006,35,65000.0,10.0
1007,53,224.09,10.0
1008,45,223.86,6.0
1009,33,224.09,7.9
1010,43,3236.3,9.5
1011,33,234.33,8.6
1012,33,368.14,3.2
1013,150,318.37,5.1
1014,18,249.91,2.2
1015,20,115.33,9.6
1016,32,272.37,6.5
1017,27,79.98,3.1
1018,41,122.8,7.0
1019,28,100.66,6.6
1020,23,158.46,4.2
1021,52,945.51,2.0
1022,35,33.32,7.0
1023,38,256.98,5.7
1024,23,150000.0,8.0
1025,32,101.74,5.7
1026,39,354.66,8.7
1027,26,156.24,6.0
1028,41,62.67,6.0
1029,31,83.74,8.9
1030,35,255.62,4.6
1031,31,82.74,2.2
1032,56,176.47,1.3
1033,37,153.92,7.8
1034,27,88.12,6.6
1035,46,824.81,7.3
1036,25,246.44,2.9
1037,40,29.37,2.2
1038,18,172.29,1.1
1039,24,87.41,4.2
1040,39,293.52,6.3
1041,45,78.73,4.5
1042,39,135.4,4.9
1043,36,222.29,9.1
1044,34,296.67,4.1
1045,23,56.81,5.6
1046,30,113.57,8.1
1047,33,101.5,4.6
1048,48,88.0,6.6
1049,41,609.33,8.8
1050,20,205.2,9.5
1051,41,54.12,2.3
1052,34,309.29,9.3
1053,31,810.56,5.4
1054,44,338.99,3.3
1055,48,44.01,5.1
1056,47,100.75,9.8
1057,29,408.92,5.4
1058,34,84.26,4.0
1059,195,211.68,6.7
1060,47,275.81,3.2
1061,33,70.7,1.7
1062,36,141.51,2.2
1063,26,11.1,2.2
1064,26,65.4,2.4
1065,46,121.26,2.2
1066,51,54.7,6.8
1067,37,547.81,2.6
1068,48,47.27,4.1
1069,41,104.37,9.1
1070,31,164.78,5.3
1071,41,470.13,7.0
1072,53,47.05,2.6
1073,37,376.35,2.7
1074,53,149.63,1.4
1075,18,67.68,2.5
1076,46,214.79,3.5
1077,38,174.03,2.6
1078,35,91.82,1.8
1079,38,156.94,2.1
1080,18,109.04,5.1
1081,35,162.52,2.9
1082,41,252.07,4.3
1083,52,527.85,5.5
1084,32,55.13,7.2
1085,29,817.64,1.4
1086,32,31.13,8.2
1087,47,131.44,6.7
1088,41,45000.0,1.7
1089,32,185.82,8.9
1090,43,90.18,9.3
1091,38,125.65,1.5
1092,47,100.04,3.5
1093,30,92.62,8.3
1094,34,292.86,7.7
1095,34,197.48,2.7
1096,23,85.26,2.9
1097,40,304.81,4.3
1098,40,189.78,5.4
1099,38,284.37,6.6
1100,35,245.6,4.3
1101,23,76.46,5.2
1102,33,94.81,7.7
1103,34,269.84,1.3
1104,29,241.84,3.3
1105,36,145.95,7.4
1106,42,163.02,9.1
1107,56,412.46,5.6
1108,39,92.46,5.8
1109,40,229.91,2.0
1110,37,126.25,5.0
1111,18,124.69,5.8
1112,37,357.46,3.2
1113,38,287.24,3.4
1114,62,284.52,4.4
1115,36,421.74,1.2
1116,41,150.93,3.9
1117,37,256.1,2.9
1118,26,115.79,3.9
1119,49,192.35,2.1
1120,-5,133.74,9.0
1121,45,160.39,6.3
1122,28,238.92,7.1
1123,52,77.12,8.1
1124,23,791.48,5.5
1125,43,66.37,1.8
1126,59,56.18,5.8
1127,28,374.84,6.3
1128,32,279.59,7.7
1129,38,244.52,4.9
1130,32,245.35,2.1
1131,22,146.97,3.6
1132,38,72.4,4.3
1133,27,157.69,6.8
1134,42,86.34,6.1
1135,28,323.79,4.2
1136,53,131.94,9.9
1137,30,76.68,6.5
1138,34,114.77,3.1
1139,46,206.51,1.9
1140,25,94.54,2.4
1141,40,76.88,3.2
1142,51,180.36,2.4
1143,21,82000.0,2.7
1144,39,98.93,3.6
1145,40,101.82,2.6
1146,45,178.69,9.1
1147,25,46.6,1.7
1148,24,48.14,5.7
1149,43,83.53,4.7
1150,40,125.12,9.8
1151,40,190.32,2.0
1152,41,483.13,4.6
1153,31,294.75,9.7
1154,40,130.59,8.8
1155,40,146.17,8.4
1156,30,66.55,3.3
1157,56,146.23,2.5
1158,42,117.81,7.0
1159,26,192.13,9.4
1160,44,76.57,6.0
1161,28,224.86,6.1
1162,45,505.83,3.5
1163,49,136.05,7.9
1164,29,204.66,2.7
1165,47,257.78,3.9
1166,42,107.66,4.8
1167,46,177.55,5.6
1168,56,149.92,3.2
1169,35,160.48,2.0
1170,30,79.97,6.5
1171,29,151.35,3.6
1172,29,221.05,6.2
1173,37,473.86,2.4
1174,41,319.71,5.3
1175,40,830.93,5.8
1176,46,80.33,1.5
1177,38,298.23,4.0
1178,52,171.86,2.2
1179,35,855.63,1.6
1180,65,77.74,9.9
1181,44,75.81,3.9
1182,29,91.88,8.3
1183,27,27.14,3.3
1184,42,97.46,7.1
1185,35,80.86,7.8
1186,45,167.39,6.4
1187,42,195.08,5.2
1188,37,665.76,4.7
1189,29,317.46,4.1
1190,22,-500.0,9.4
1191,33,72.33,8.5
1192,46,219.98,9.7
1193,40,51.62,2.1
1194,25,642.37,7.6
1195,39,381.29,9.4
1196,41,101.97,2.6
1197,29,37.69,1.6
1198,39,438.39,7.7
1199,38,135.42,6.2
1200,26,399.52,8.6
