customer_id,customer_type,product,revenue,churn,support_tickets
CUST_4521,Startups,Business Pro,2452.23,0,4
CUST_4737,Startups,Starter Kit,3541.5,0,2
CUST_4740,Startups,Starter Kit,2656.7,0,7
CUST_4660,Startups,Starter Kit,2390.24,0,3
CUST_4411,SMB,Business Pro,5800.25,1,6
CUST_4678,Startups,Starter Kit,3923.68,0,2
CUST_4626,Startups,Business Pro,2656.34,0,3
CUST_4513,Startups,Starter Kit,3665.16,1,2
CUST_4859,Startups,Business Pro,1664.27,0,4
CUST_4136,SMB,Business Pro,4075.16,0,5
CUST_4811,Startups,Starter Kit,3597.25,0,4
CUST_4076,SMB,Enterprise Suite,5085.08,0,6
CUST_4636,Startups,Starter Kit,2831.54,0,2
CUST_4973,Startups,Starter Kit,2037.35,0,6
CUST_4938,Startups,Business Pro,1794.38,0,2
CUST_4899,Startups,Business Pro,1713.77,0,3
CUST_4280,SMB,Starter Kit,5560.02,0,2
CUST_4883,Startups,Starter Kit,1760.27,0,5
CUST_4761,Startups,Business Pro,2279.31,0,3
CUST_4319,SMB,Starter Kit,3000.97,1,3
CUST_4549,Startups,Starter Kit,3430.8,0,4
CUST_4174,SMB,Business Pro,4580.69,0,5
CUST_4371,SMB,Business Pro,2072.89,0,1
CUST_4527,Startups,Starter Kit,2183.52,0,2
CUST_4210,SMB,Business Pro,4194.94,0,5
CUST_4235,SMB,Starter Kit,4889.81,0,1
CUST_4101,SMB,Business Pro,4545.64,0,4
CUST_4986,Startups,Starter Kit,3221.01,0,3
CUST_4902,Startups,Business Pro,1953.59,0,6
CUST_4947,Startups,Starter Kit,3750.05,0,5
CUST_4346,SMB,Business Pro,4540.37,0,1
CUST_4139,SMB,Business Pro,5887.13,0,3
CUST_4621,Startups,Starter Kit,2023.37,1,3
CUST_4499,Startups,Business Pro,3965.53,0,4
CUST_4370,SMB,Enterprise Suite,2403.11,0,10
CUST_4198,SMB,Business Pro,5548.35,0,6
CUST_4687,Startups,Starter Kit,2199.95,0,1
CUST_4584,Startups,Starter Kit,3083.5,0,5
CUST_4901,Startups,Starter Kit,1566.33,1,4
