customer_id,revenue,quantity
CUST_000001,243.89,36
CUST_000002,129.25,18
CUST_000003,283.64,5
CUST_000004,680.64,46
CUST_000005,117.43,22
CUST_000006,117.43,14
CUST_000007,719.97,32
CUST_000008,319.72,48
CUST_000009,92.81,32
CUST_000010,255.33,12
CUST_000011,93.37,5
CUST_000012,93.16,28
CUST_000013,189.04,28
CUST_000014,21.91,29
CUST_000015,26.45,34
CUST_000016,84.58,17
CUST_000017,53.9,14
CUST_000018,203.21,40
CUST_000019,59.86,16
CUST_000020,36.15,21
CUST_000021,642.68,27
CUST_000022,118.42,14
CUST_000023,158.78,44
CUST_000024,35.7,2
CUST_000025,86.11,7
CUST_000026,165.82,19
CUST_000027,46.95,22
CUST_000028,216.09,18
CUST_000029,81.4,29
CUST_000030,110.86,24
CUST_000031,81.31,8
CUST_000032,946.03,35
CUST_000033,146.42,35
CUST_000034,51.54,43
CUST_000035,337.83,36
CUST_000036,43.78,38
CUST_000037,182.89,10
CUST_000038,20.91,49
CUST_000039,39.32,42
CUST_000040,180.7,32
CUST_000041,310.59,36
CUST_000042,176.16,30
CUST_000043,132.2,15
CUST_000044,109.83,16
CUST_000045,33.83,38
CUST_000046,72.25,23
CUST_000047,93.63,15
CUST_000048,427.14,6
CUST_000049,209.27,7
CUST_000050,25.46,15
CUST_000051,205.22,24
CUST_000052,100.98,3
CUST_000053,75.42,48
CUST_000054,273.6,14
CUST_000055,416.13,21
CUST_000056,376.64,9
CUST_000057,64.12,41
CUST_000058,108.94,48
CUST_000059,206.7,43
CUST_000060,393.68,12
CUST_000061,91.91,24
CUST_000062,123.27,44
CUST_000063,49.09,41
CUST_000064,44.87,20
CUST_000065,334.46,35
CUST_000066,576.08,35
CUST_000067,138.1,34
CUST_000068,404.86,28
CUST_000069,213.07,49
CUST_000070,77.86,5
CUST_000071,213.02,48
CUST_000072,690.93,47
CUST_000073,143.19,18
CUST_000074,709.56,9
CUST_000075,10.81,6
CUST_000076,337.61,7
CUST_000077,161.91,47
CUST_000078,110.06,1
CUST_000079,162.68,30
CUST_000080,20.34,22
CUST_000081,119.14,33
CUST_000082,212.11,36
CUST_000083,650.6,49
CUST_000084,88.39,5
CUST_000085,66.12,47
CUST_000086,89.86,27
CUST_000087,370.7,45
CUST_000088,206.18,20
CUST_000089,87.38,34
CUST_000090,247.96,36
CUST_000091,163.54,21
CUST_000092,390.98,15
CUST_000093,73.55,18
CUST_000094,106.95,49
CUST_000095,100.27,22
CUST_000096,34.35,39
CUST_000097,199.56,6
CUST_000098,192.68,45
CUST_000099,149.17,16
CUST_000100,117.38,46
CUST_000101,36.04,28
CUST_000102,97.45,30
CUST_000103,105.35,38
CUST_000104,66.53,47
CUST_000105,126.31,10
CUST_000106,222.31,10
CUST_000107,978.66,3
CUST_000108,176.72,41
CUST_000109,192.01,47
CUST_000110,137.77,18
CUST_000111,21.79,22
CUST_000112,144.53,29
CUST_000113,157.63,8
CUST_000114,1742.79,8
CUST_000115,122.44,3
CUST_000116,200.65,30
CUST_000117,143.35,10
CUST_000118,46.12,8
CUST_000119,465.37,7
CUST_000120,314.8,38
CUST_000121,327.35,39
CUST_000122,59.78,19
CUST_000123,603.53,14
CUST_000124,36.53,33
CUST_000125,266.9,47
CUST_000126,1326.71,28
CUST_000127,55.12,20
CUST_000128,84.24,40
CUST_000129,163.96,44
CUST_000130,89.7,1
CUST_000131,31.48,26
CUST_000132,158.95,10
CUST_000133,51.3,32
CUST_000134,238.31,49
CUST_000135,59.18,32
CUST_000136,699.2,20
CUST_000137,67.81,36
CUST_000138,107.55,30
CUST_000139,334.79,34
CUST_000140,43.34,33
CUST_000141,186.32,14
CUST_000142,548.48,22
CUST_000143,29.74,28
CUST_000144,178.51,30
CUST_000145,192.46,49
CUST_000146,324.35,47
CUST_000147,43.08,8
CUST_000148,39.63,28
CUST_000149,250.12,21
CUST_000150,199.73,9
CUST_000151,190.66,45
CUST_000152,209.86,16
CUST_000153,75.19,28
CUST_000154,187.21,1
CUST_000155,198.95,37
CUST_000156,72.65,5
CUST_000157,958.89,12
CUST_000158,238.37,10
CUST_000159,45.09,18
CUST_000160,286.16,15
CUST_000161,56.0,45
CUST_000162,326.06,2
CUST_000163,472.76,16
CUST_000164,65.32,40
CUST_000165,388.92,9
CUST_000166,224.25,29
CUST_000167,337.67,16
CUST_000168,989.1,12
CUST_000169,116.12,14
CUST_000170,69.84,40
CUST_000171,60.98,38
CUST_000172,65.64,33
CUST_000173,137.4,46
CUST_000174,208.75,25
CUST_000175,195.72,23
CUST_000176,339.4,7
CUST_000177,150.36,47
CUST_000178,634.94,33
CUST_000179,113.9,7
CUST_000180,2253.34,21
CUST_000181,277.46,11
CUST_000182,62.98,18
CUST_000183,50.86,11
CUST_000184,240.44,21
CUST_000185,118.69,45
CUST_000186,303.08,19
CUST_000187,238.23,27
CUST_000188,137.99,12
CUST_000189,63.64,2
CUST_000190,32.63,6
CUST_000191,94.96,39
CUST_000192,349.46,14
CUST_000193,183.85,48
CUST_000194,42.7,25
CUST_000195,176.48,39
