transactions_per_month,support_tickets,days_since_last_purchase,total_spent,churn
7.8,2,7,1946.73,1
19.04,12,45,581.34,1
14.77,11,32,2004.36,1
12.17,5,30,3828.36,1
3.54,10,43,20.0,1
3.54,10,36,2525.55,1
1.63,6,30,546.88,0
17.39,11,37,823.94,1
12.22,7,32,20.0,1
14.31,7,22,663.23,1
0.9,9,26,1791.74,1
19.41,8,32,20.0,1
16.73,2,8,2368.21,0
4.64,15,37,2940.81,1
4.05,10,43,20.0,1
4.08,1,12,3822.01,1
6.43,10,33,709.27,1
10.73,4,12,3199.98,0
8.92,5,13,1048.64,1
6.18,8,33,20.0,0
12.43,2,7,746.06,1
3.22,9,41,20.0,1
6.2,9,34,20.0,1
7.64,4,17,2788.12,1
9.39,0,2,4415.16,0
15.81,2,8,3818.55,0
4.39,8,24,2689.53,1
10.53,20,68,20.0,1
12.05,6,29,717.69,1
1.41,2,6,1377.38,0
12.35,6,22,520.68,1
3.83,6,18,2002.33,0
1.77,8,25,1513.47,1
19.0,2,5,1758.22,0
19.33,7,30,688.44,1
16.26,5,20,3536.49,1
6.44,18,59,1330.24,1
2.4,2,15,1273.51,0
13.84,5,25,3776.47,0
9.08,13,44,2617.86,1
2.88,1,9,1614.52,0
10.16,15,59,20.0,1
1.17,9,27,1646.1,1
18.23,0,12,4655.29,0
5.55,3,11,4107.52,0
13.42,7,32,20.0,0
6.58,2,13,1968.6,0
10.64,4,22,2113.37,0
11.16,3,21,2225.77,0
4.1,7,18,273.93,1
19.41,1,2,4270.75,0
15.62,10,45,1775.32,0
18.82,18,70,1301.6,1
17.95,18,58,1532.08,1
12.16,8,27,2659.02,1
18.48,1,3,2140.64,0
2.23,7,28,1955.75,0
4.32,3,12,865.88,1
1.38,0,9,3382.96,0
6.84,3,12,665.55,0
8.08,4,17,2963.8,0
5.79,8,25,47.87,0
16.66,6,24,20.0,1
7.46,4,19,437.56,0
5.98,3,20,20.0,1
11.08,30,106,20.0,1
3.25,6,10,3244.41,1
16.14,4,23,2142.88,0
1.95,1,15,747.74,0
19.74,9,37,20.0,0
15.56,8,26,20.0,1
4.37,4,11,712.61,0
0.61,0,7,4396.41,0
16.4,7,20,370.73,1
14.28,7,21,985.69,1
14.72,2,10,360.84,1
15.54,15,56,20.0,1
1.94,2,14,2513.19,1
7.49,3,17,2625.01,0
2.76,14,48,20.0,1
17.33,5,23,20.0,0
12.65,5,30,1202.01,1
6.95,3,20,842.14,0
1.74,4,20,919.41,0
6.56,21,75,1496.31,1
6.84,3,23,2698.67,0
14.73,13,38,1032.5,1
12.93,1,10,1928.25,0
17.8,1,8,2010.1,0
9.71,1,4,2725.13,0
2.83,7,20,2668.83,1
14.41,2,17,3172.76,1
15.34,10,44,20.0,1
11.44,5,19,2037.79,0
15.53,18,58,20.0,1
10.13,3,16,4201.41,0
10.69,12,42,1570.2,1
8.84,10,30,1510.25,0
1.0,7,34,20.0,0
2.6,10,34,1577.28,1
