customer_id,customer_name,region,signup_date,order_id,order_amount,order_date
CUST_0001,Customer_1,East,2024-01-01,ORD_10348,556.57,2025-01-15 11:00:00
CUST_0001,Customer_1,East,2024-01-01,ORD_10521,632.36,2025-01-22 16:00:00
CUST_0001,Customer_1,East,2024-01-01,ORD_10859,84.34,2025-02-05 18:00:00
CUST_0001,Customer_1,East,2024-01-01,ORD_12497,673.17,2025-04-15 00:00:00
CUST_0001,Customer_1,East,2024-01-01,ORD_13798,298.43,2025-06-08 05:00:00
CUST_0002,Customer_2,West,2024-01-01,ORD_10352,210.77,2025-01-15 15:00:00
CUST_0002,Customer_2,West,2024-01-01,ORD_12453,444.56,2025-04-13 04:00:00
CUST_0002,Customer_2,West,2024-01-01,ORD_14142,74.39,2025-06-22 13:00:00
CUST_0002,Customer_2,West,2024-01-01,ORD_14352,144.2,2025-07-01 07:00:00
CUST_0002,Customer_2,West,2024-01-01,ORD_14816,348.89,2025-07-20 15:00:00
CUST_0003,Customer_3,North,2024-01-02,ORD_10522,509.84,2025-01-22 17:00:00
CUST_0003,Customer_3,North,2024-01-02,ORD_10850,107.15,2025-02-05 09:00:00
CUST_0003,Customer_3,North,2024-01-02,ORD_10878,699.02,2025-02-06 13:00:00
CUST_0003,Customer_3,North,2024-01-02,ORD_12891,347.5,2025-05-01 10:00:00
CUST_0003,Customer_3,North,2024-01-02,ORD_14332,497.17,2025-06-30 11:00:00
CUST_0004,Customer_4,East,2024-01-02,ORD_10037,250.12,2025-01-02 12:00:00
CUST_0004,Customer_4,East,2024-01-02,ORD_11266,557.63,2025-02-22 17:00:00
CUST_0004,Customer_4,East,2024-01-02,ORD_12480,609.72,2025-04-14 07:00:00
CUST_0004,Customer_4,East,2024-01-02,ORD_14346,362.12,2025-07-01 01:00:00
CUST_0004,Customer_4,East,2024-01-02,ORD_14820,452.1,2025-07-20 19:00:00
CUST_0005,Customer_5,East,2024-01-03,ORD_10044,570.03,2025-01-02 19:00:00
CUST_0005,Customer_5,East,2024-01-03,ORD_12006,56.74,2025-03-25 13:00:00
CUST_0005,Customer_5,East,2024-01-03,ORD_12690,287.65,2025-04-23 01:00:00
CUST_0005,Customer_5,East,2024-01-03,ORD_13177,533.09,2025-05-13 08:00:00
CUST_0005,Customer_5,East,2024-01-03,ORD_14285,449.02,2025-06-28 12:00:00
CUST_0006,Customer_6,West,2024-01-03,ORD_10052,343.41,2025-01-03 03:00:00
CUST_0006,Customer_6,West,2024-01-03,ORD_12084,442.35,2025-03-28 19:00:00
CUST_0006,Customer_6,West,2024-01-03,ORD_12802,664.22,2025-04-27 17:00:00
CUST_0006,Customer_6,West,2024-01-03,ORD_13260,508.82,2025-05-16 19:00:00
CUST_0006,Customer_6,West,2024-01-03,ORD_14823,68.73,2025-07-20 22:00:00
CUST_0007,Customer_7,North,2024-01-04,ORD_10977,374.51,2025-02-10 16:00:00
CUST_0007,Customer_7,North,2024-01-04,ORD_11361,255.65,2025-02-26 16:00:00
CUST_0007,Customer_7,North,2024-01-04,ORD_12412,571.1,2025-04-11 11:00:00
CUST_0007,Customer_7,North,2024-01-04,ORD_13610,211.29,2025-05-31 09:00:00
CUST_0007,Customer_7,North,2024-01-04,ORD_13949,680.88,2025-06-14 12:00:00
CUST_0008,Customer_8,North,2024-01-04,ORD_11007,575.09,2025-02-11 22:00:00
CUST_0008,Customer_8,North,2024-01-04,ORD_11129,186.06,2025-02-17 00:00:00
CUST_0008,Customer_8,North,2024-01-04,ORD_11544,190.0,2025-03-06 07:00:00
CUST_0008,Customer_8,North,2024-01-04,ORD_12803,34.69,2025-04-27 18:00:00
CUST_0008,Customer_8,North,2024-01-04,ORD_13299,536.8,2025-05-18 10:00:00
CUST_0009,Customer_9,East,2024-01-05,ORD_10188,298.09,2025-01-08 19:00:00
CUST_0009,Customer_9,East,2024-01-05,ORD_13084,26.8,2025-05-09 11:00:00
CUST_0009,Customer_9,East,2024-01-05,ORD_13646,333.09,2025-06-01 21:00:00
CUST_0009,Customer_9,East,2024-01-05,ORD_13918,724.93,2025-06-13 05:00:00
CUST_0009,Customer_9,East,2024-01-05,ORD_14505,321.31,2025-07-07 16:00:00
CUST_0010,Customer_10,South,2024-01-05,ORD_11375,441.47,2025-02-27 06:00:00
CUST_0010,Customer_10,South,2024-01-05,ORD_11427,491.81,2025-03-01 10:00:00
CUST_0010,Customer_10,South,2024-01-05,ORD_12854,48.32,2025-04-29 21:00:00
CUST_0010,Customer_10,South,2024-01-05,ORD_14134,264.96,2025-06-22 05:00:00
CUST_0010,Customer_10,South,2024-01-05,ORD_14793,248.76,2025-07-19 16:00:00
