date,revenue,orders,revenue_ma7,revenue_ma30,cumulative_revenue
2026-01-01,7796.06,54,,,7796.06
2026-01-02,7067.6,52,,,14863.66
2026-01-03,11344.27,89,,,26207.93
2026-01-04,12428.19,107,,,38636.12
2026-01-05,7053.09,55,,,45689.21000000001
2026-01-06,7086.63,53,,,52775.840000000004
2026-01-07,9296.17,80,8867.43,,62072.01
2026-01-08,8355.56,57,8947.358571428571,,70427.57
2026-01-09,6904.79,69,8924.1,,77332.36
2026-01-10,11452.75,88,8939.597142857143,,88785.11
2026-01-11,10279.09,68,8632.582857142857,,99064.2
2026-01-12,7009.84,65,8626.404285714287,,106074.04
2026-01-13,7892.59,66,8741.541428571427,,113966.62999999999
2026-01-14,5339.82,42,8176.348571428572,,119306.44999999998
2026-01-15,5599.37,53,7782.607142857143,,124905.81999999998
2026-01-16,7028.05,56,7800.215714285715,,131933.86999999997
2026-01-17,9820.92,83,7567.097142857143,,141754.78999999998
2026-01-18,11446.93,91,7733.931428571428,,153201.71999999997
2026-01-19,6713.72,64,7691.628571428571,,159915.43999999997
2026-01-20,6142.11,48,7441.5599999999995,,166057.54999999996
2026-01-21,9629.17,76,8054.324285714286,,175686.71999999997
2026-01-22,7632.98,59,8344.84,,183319.69999999998
2026-01-23,8018.46,58,8486.327142857142,,191338.15999999997
2026-01-24,9561.25,49,8449.231428571427,,200899.40999999997
2026-01-25,10651.21,90,8335.557142857142,,211550.61999999997
2026-01-26,8171.1,54,8543.754285714285,,219721.71999999997
2026-01-27,6690.32,60,8622.07,,226412.03999999998
2026-01-28,8555.87,70,8468.74142857143,,234967.90999999997
2026-01-29,7417.78,44,8437.998571428572,,242385.68999999997
2026-01-30,7822.03,63,8409.937142857143,8340.257333333333,250207.71999999997
2026-01-31,10783.54,81,8584.55,8439.84,260991.25999999998
2026-02-01,13761.84,110,9028.925714285713,8662.981333333333,274753.1
2026-02-02,8256.43,64,9041.115714285714,8560.053333333333,283009.52999999997
2026-02-03,7036.89,64,9090.625714285714,8380.343333333334,290046.42
2026-02-04,9326.72,70,9200.747142857143,8456.131,299373.13999999996
2026-02-05,6908.17,48,9127.945714285714,8450.182333333334,306281.30999999994
2026-02-06,8657.34,68,9247.275714285714,8428.887999999999,314938.64999999997
2026-02-07,9388.62,76,9048.001428571428,8463.323333333332,324327.26999999996
2026-02-08,10179.92,96,8536.298571428571,8572.494333333332,334507.18999999994
2026-02-09,8743.5,69,8605.880000000001,8482.186,343250.68999999994
2026-02-10,9426.94,70,8947.315714285714,8453.780999999999,352677.62999999995
2026-02-11,8779.94,65,8869.204285714286,8512.784333333333,361457.56999999995
2026-02-12,8469.04,48,9092.185714285715,8531.999333333333,369926.6099999999
2026-02-13,8280.02,74,9038.282857142858,8630.006,378206.62999999995
2026-02-14,10200.63,77,9154.284285714286,8783.381333333333,388407.25999999995
2026-02-15,11144.57,84,9292.091428571428,8920.598666666667,399551.82999999996
2026-02-16,8189.13,56,9212.895714285714,8866.205666666667,407740.95999999996
2026-02-17,10043.97,74,9301.042857142858,8819.440333333334,417784.92999999993
2026-02-18,9221.28,74,9364.091428571428,8903.025666666666,427006.20999999996
2026-02-19,6726.81,51,9115.201428571429,8922.515666666668,433733.01999999996
2026-02-20,9264.88,71,9255.895714285714,8910.372666666666,442997.89999999997
2026-02-21,11747.4,92,9476.862857142856,9047.519999999999,454745.3
2026-02-22,11430.71,70,9517.74,9161.261666666667,466176.01
2026-02-23,9710.55,90,9735.085714285715,9166.238333333335,475886.56
2026-02-24,10247.26,75,9764.127142857144,9152.773333333334,486133.82
2026-02-25,10161.11,76,9898.388571428572,9219.107,496294.93
